"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"50"
"US National","Season onset","Bin","week","40","41","4.42347371930663e-05"
"US National","Season onset","Bin","week","41","42","4.44922100923091e-05"
"US National","Season onset","Bin","week","42","43","4.47715640094461e-05"
"US National","Season onset","Bin","week","43","44","4.50727989443795e-05"
"US National","Season onset","Bin","week","44","45","4.53959148970814e-05"
"US National","Season onset","Bin","week","45","46","4.55005524292869e-05"
"US National","Season onset","Bin","week","46","47","4.48001797080155e-05"
"US National","Season onset","Bin","week","47","48","4.46811278258303e-05"
"US National","Season onset","Bin","week","48","49","4.45183139080358e-05"
"US National","Season onset","Bin","week","49","50","0.832999167726574"
"US National","Season onset","Bin","week","50","51","0.165625298052831"
"US National","Season onset","Bin","week","51","52","4.30251631353307e-05"
"US National","Season onset","Bin","week","52","1","4.32726451743442e-05"
"US National","Season onset","Bin","week","1","2","4.35420082314493e-05"
"US National","Season onset","Bin","week","2","3","4.38332523058084e-05"
"US National","Season onset","Bin","week","3","4","4.41383072325042e-05"
"US National","Season onset","Bin","week","4","5","4.42040517777072e-05"
"US National","Season onset","Bin","week","5","6","4.44704287253428e-05"
"US National","Season onset","Bin","week","6","7","4.46930436367955e-05"
"US National","Season onset","Bin","week","7","8","4.4871896513112e-05"
"US National","Season onset","Bin","week","8","9","4.50069873536643e-05"
"US National","Season onset","Bin","week","9","10","4.50983161586617e-05"
"US National","Season onset","Bin","week","10","11","4.49935716050705e-05"
"US National","Season onset","Bin","week","11","12","4.3319679102385e-05"
"US National","Season onset","Bin","week","12","13","4.3418208762292e-05"
"US National","Season onset","Bin","week","13","14","4.35386194398719e-05"
"US National","Season onset","Bin","week","14","15","4.2995412430528e-05"
"US National","Season onset","Bin","week","15","16","4.30913566333974e-05"
"US National","Season onset","Bin","week","16","17","4.33777153009798e-05"
"US National","Season onset","Bin","week","17","18","4.36203119334261e-05"
"US National","Season onset","Bin","week","18","19","4.38191465301082e-05"
"US National","Season onset","Bin","week","19","20","4.39742190910261e-05"
"US National","Season onset","Bin","week","20","21","5.71091080997473e-06"
"US National","Season onset","Bin","week","none","none","4.40515697042671e-05"
"US National","Season peak week","Point","week",NA,NA,"6"
"US National","Season peak week","Bin","week","40","41","4.53397204531657e-05"
"US National","Season peak week","Bin","week","41","42","4.53027729253515e-05"
"US National","Season peak week","Bin","week","42","43","4.52850314552708e-05"
"US National","Season peak week","Bin","week","43","44","4.52788553300844e-05"
"US National","Season peak week","Bin","week","44","45","4.52712497888527e-05"
"US National","Season peak week","Bin","week","45","46","4.52453232793724e-05"
"US National","Season peak week","Bin","week","46","47","4.52441102705925e-05"
"US National","Season peak week","Bin","week","47","48","4.52437217970595e-05"
"US National","Season peak week","Bin","week","48","49","4.52754274682864e-05"
"US National","Season peak week","Bin","week","49","50","4.52888334224859e-05"
"US National","Season peak week","Bin","week","50","51","4.53081670847444e-05"
"US National","Season peak week","Bin","week","51","52","4.53377022544929e-05"
"US National","Season peak week","Bin","week","52","1","4.53703377311221e-05"
"US National","Season peak week","Bin","week","1","2","4.5382814998738e-05"
"US National","Season peak week","Bin","week","2","3","0.000135988922472767"
"US National","Season peak week","Bin","week","3","4","0.142908051155628"
"US National","Season peak week","Bin","week","4","5","0.202636556763305"
"US National","Season peak week","Bin","week","5","6","0.133856381219021"
"US National","Season peak week","Bin","week","6","7","0.298693566071926"
"US National","Season peak week","Bin","week","7","8","0.20694179243085"
"US National","Season peak week","Bin","week","8","9","0.00482948428914138"
"US National","Season peak week","Bin","week","9","10","0.00582550467314161"
"US National","Season peak week","Bin","week","10","11","0.00310950848485043"
"US National","Season peak week","Bin","week","11","12","4.62375389307051e-05"
"US National","Season peak week","Bin","week","12","13","4.52464293260761e-05"
"US National","Season peak week","Bin","week","13","14","4.52351463899887e-05"
"US National","Season peak week","Bin","week","14","15","4.52553231441827e-05"
"US National","Season peak week","Bin","week","15","16","4.52634663942117e-05"
"US National","Season peak week","Bin","week","16","17","4.52714887789988e-05"
"US National","Season peak week","Bin","week","17","18","4.52964022497549e-05"
"US National","Season peak week","Bin","week","18","19","4.53240130744559e-05"
"US National","Season peak week","Bin","week","19","20","4.53376055375833e-05"
