"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",1
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","53","54",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,52
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0.0127246236036911
"US National","Season peak week","Bin","week","52","53",0.799611461874696
"US National","Season peak week","Bin","week","53","54",0.0738222438076736
"US National","Season peak week","Bin","week","1","2",0.0207867897037397
"US National","Season peak week","Bin","week","2","3",0.0357455075279262
"US National","Season peak week","Bin","week","3","4",0.0331228751821272
"US National","Season peak week","Bin","week","4","5",0.0146673142302088
"US National","Season peak week","Bin","week","5","6",0.00514813016027198
"US National","Season peak week","Bin","week","6","7",0.00174842156386595
"US National","Season peak week","Bin","week","7","8",0.000777076250607091
"US National","Season peak week","Bin","week","8","9",0.000388538125303546
"US National","Season peak week","Bin","week","9","10",0.00106847984458475
"US National","Season peak week","Bin","week","10","11",9.71345313258863e-05
"US National","Season peak week","Bin","week","11","12",9.71345313258863e-05
"US National","Season peak week","Bin","week","12","13",0.000194269062651773
"US National","Season peak week","Bin","week","13","14",0
"US National","Season peak week","Bin","week","14","15",0
"US National","Season peak week","Bin","week","15","16",0
"US National","Season peak week","Bin","week","16","17",0
"US National","Season peak week","Bin","week","17","18",0
"US National","Season peak week","Bin","week","18","19",0
"US National","Season peak week","Bin","week","19","20",0
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,7.8
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0
"US National","Season peak percentage","Bin","percent","4.4","4.5",0
"US National","Season peak percentage","Bin","percent","4.5","4.6",0
"US National","Season peak percentage","Bin","percent","4.6","4.7",0
"US National","Season peak percentage","Bin","percent","4.7","4.8",0
"US National","Season peak percentage","Bin","percent","4.8","4.9",0
"US National","Season peak percentage","Bin","percent","4.9","5",0
"US National","Season peak percentage","Bin","percent","5","5.1",0
"US National","Season peak percentage","Bin","percent","5.1","5.2",0
"US National","Season peak percentage","Bin","percent","5.2","5.3",0
"US National","Season peak percentage","Bin","percent","5.3","5.4",0
"US National","Season peak percentage","Bin","percent","5.4","5.5",0
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0131
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0045
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0073
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0063
"US National","Season peak percentage","Bin","percent","5.9","6",0.007
"US National","Season peak percentage","Bin","percent","6","6.1",0.0087
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.012
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.016
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0162
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0163
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0211
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0203
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0244
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0264
"US National","Season peak percentage","Bin","percent","6.9","7",0.0284
"US National","Season peak percentage","Bin","percent","7","7.1",0.0278
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0295
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.029
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0346
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0314
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0329
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0333
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0334
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0357
"US National","Season peak percentage","Bin","percent","7.9","8",0.0313
"US National","Season peak percentage","Bin","percent","8","8.1",0.031
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0315
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.032
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0288
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.0255
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0263
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.023
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0209
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0225
"US National","Season peak percentage","Bin","percent","8.9","9",0.0167
"US National","Season peak percentage","Bin","percent","9","9.1",0.0179
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0179
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0159
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.0117
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.0145
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.0111
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.0104
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0081
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.0077
"US National","Season peak percentage","Bin","percent","9.9","10",0.0093
"US National","Season peak percentage","Bin","percent","10","10.1",0.008
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0071
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0059
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0048
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0072
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.0036
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0036
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0035
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.0031
"US National","Season peak percentage","Bin","percent","10.9","11",0.0024
"US National","Season peak percentage","Bin","percent","11","11.1",0.0024
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0016
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.0022
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.0013
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.0013
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.0015
"US National","Season peak percentage","Bin","percent","11.6","11.7",0.0012
"US National","Season peak percentage","Bin","percent","11.7","11.8",0.000900000000000001
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.0013
"US National","Season peak percentage","Bin","percent","11.9","12",0.000900000000000001
"US National","Season peak percentage","Bin","percent","12","12.1",7e-04
"US National","Season peak percentage","Bin","percent","12.1","12.2",5e-04
"US National","Season peak percentage","Bin","percent","12.2","12.3",4e-04
"US National","Season peak percentage","Bin","percent","12.3","12.4",6e-04
"US National","Season peak percentage","Bin","percent","12.4","12.5",5e-04
"US National","Season peak percentage","Bin","percent","12.5","12.6",2e-04
"US National","Season peak percentage","Bin","percent","12.6","12.7",7e-04
"US National","Season peak percentage","Bin","percent","12.7","12.8",4e-04
"US National","Season peak percentage","Bin","percent","12.8","12.9",3e-04
"US National","Season peak percentage","Bin","percent","12.9","13",3e-04
"US National","Season peak percentage","Bin","percent","13","100",0.002
"US National","1 wk ahead","Point","percent",NA,NA,7.7
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",0
"US National","1 wk ahead","Bin","percent","1.7","1.8",0
"US National","1 wk ahead","Bin","percent","1.8","1.9",0
"US National","1 wk ahead","Bin","percent","1.9","2",0
"US National","1 wk ahead","Bin","percent","2","2.1",0
"US National","1 wk ahead","Bin","percent","2.1","2.2",0
"US National","1 wk ahead","Bin","percent","2.2","2.3",0
"US National","1 wk ahead","Bin","percent","2.3","2.4",0
"US National","1 wk ahead","Bin","percent","2.4","2.5",0
"US National","1 wk ahead","Bin","percent","2.5","2.6",0
"US National","1 wk ahead","Bin","percent","2.6","2.7",0
"US National","1 wk ahead","Bin","percent","2.7","2.8",0
"US National","1 wk ahead","Bin","percent","2.8","2.9",0
"US National","1 wk ahead","Bin","percent","2.9","3",0
"US National","1 wk ahead","Bin","percent","3","3.1",0
"US National","1 wk ahead","Bin","percent","3.1","3.2",0
"US National","1 wk ahead","Bin","percent","3.2","3.3",0
"US National","1 wk ahead","Bin","percent","3.3","3.4",0
"US National","1 wk ahead","Bin","percent","3.4","3.5",0
"US National","1 wk ahead","Bin","percent","3.5","3.6",0
"US National","1 wk ahead","Bin","percent","3.6","3.7",0
"US National","1 wk ahead","Bin","percent","3.7","3.8",0
"US National","1 wk ahead","Bin","percent","3.8","3.9",0
"US National","1 wk ahead","Bin","percent","3.9","4",0
"US National","1 wk ahead","Bin","percent","4","4.1",0
"US National","1 wk ahead","Bin","percent","4.1","4.2",0
"US National","1 wk ahead","Bin","percent","4.2","4.3",0
"US National","1 wk ahead","Bin","percent","4.3","4.4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.6","4.7",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.7","4.8",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.8","4.9",7e-04
"US National","1 wk ahead","Bin","percent","4.9","5",7e-04
"US National","1 wk ahead","Bin","percent","5","5.1",7e-04
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.0018
"US National","1 wk ahead","Bin","percent","5.2","5.3",0.0022
"US National","1 wk ahead","Bin","percent","5.3","5.4",0.0026
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.003
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0037
"US National","1 wk ahead","Bin","percent","5.6","5.7",0.0055
"US National","1 wk ahead","Bin","percent","5.7","5.8",0.0079
"US National","1 wk ahead","Bin","percent","5.8","5.9",0.0072
"US National","1 wk ahead","Bin","percent","5.9","6",0.008
"US National","1 wk ahead","Bin","percent","6","6.1",0.0103
"US National","1 wk ahead","Bin","percent","6.1","6.2",0.0139
"US National","1 wk ahead","Bin","percent","6.2","6.3",0.0182
"US National","1 wk ahead","Bin","percent","6.3","6.4",0.0174
"US National","1 wk ahead","Bin","percent","6.4","6.5",0.0193
"US National","1 wk ahead","Bin","percent","6.5","6.6",0.0232
"US National","1 wk ahead","Bin","percent","6.6","6.7",0.0231
"US National","1 wk ahead","Bin","percent","6.7","6.8",0.0273
"US National","1 wk ahead","Bin","percent","6.8","6.9",0.0293
"US National","1 wk ahead","Bin","percent","6.9","7",0.03
"US National","1 wk ahead","Bin","percent","7","7.1",0.0289
"US National","1 wk ahead","Bin","percent","7.1","7.2",0.0334
"US National","1 wk ahead","Bin","percent","7.2","7.3",0.0302
"US National","1 wk ahead","Bin","percent","7.3","7.4",0.0375
"US National","1 wk ahead","Bin","percent","7.4","7.5",0.0335
"US National","1 wk ahead","Bin","percent","7.5","7.6",0.0342
"US National","1 wk ahead","Bin","percent","7.6","7.7",0.0338
"US National","1 wk ahead","Bin","percent","7.7","7.8",0.0359
"US National","1 wk ahead","Bin","percent","7.8","7.9",0.0359
"US National","1 wk ahead","Bin","percent","7.9","8",0.0323
"US National","1 wk ahead","Bin","percent","8","8.1",0.0314
"US National","1 wk ahead","Bin","percent","8.1","8.2",0.0319
"US National","1 wk ahead","Bin","percent","8.2","8.3",0.0312
"US National","1 wk ahead","Bin","percent","8.3","8.4",0.0273
"US National","1 wk ahead","Bin","percent","8.4","8.5",0.0233
"US National","1 wk ahead","Bin","percent","8.5","8.6",0.024
"US National","1 wk ahead","Bin","percent","8.6","8.7",0.0218
"US National","1 wk ahead","Bin","percent","8.7","8.8",0.0191
"US National","1 wk ahead","Bin","percent","8.8","8.9",0.0232
"US National","1 wk ahead","Bin","percent","8.9","9",0.0151
"US National","1 wk ahead","Bin","percent","9","9.1",0.0168
"US National","1 wk ahead","Bin","percent","9.1","9.2",0.0162
"US National","1 wk ahead","Bin","percent","9.2","9.3",0.0141
"US National","1 wk ahead","Bin","percent","9.3","9.4",0.011
"US National","1 wk ahead","Bin","percent","9.4","9.5",0.0131
"US National","1 wk ahead","Bin","percent","9.5","9.6",0.0088
"US National","1 wk ahead","Bin","percent","9.6","9.7",0.0094
"US National","1 wk ahead","Bin","percent","9.7","9.8",0.0074
"US National","1 wk ahead","Bin","percent","9.8","9.9",0.0057
"US National","1 wk ahead","Bin","percent","9.9","10",0.0077
"US National","1 wk ahead","Bin","percent","10","10.1",0.0062
"US National","1 wk ahead","Bin","percent","10.1","10.2",0.0061
"US National","1 wk ahead","Bin","percent","10.2","10.3",0.004
"US National","1 wk ahead","Bin","percent","10.3","10.4",0.0042
"US National","1 wk ahead","Bin","percent","10.4","10.5",0.0055
"US National","1 wk ahead","Bin","percent","10.5","10.6",0.0024
"US National","1 wk ahead","Bin","percent","10.6","10.7",0.0037
