"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.7
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00156
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0096
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00374
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00022
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.00072
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.00112
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0035
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00634
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.009
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0156
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0155
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01254
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.01852
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02098
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.01678
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0159
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.02434
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.03874
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.05186
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.05344
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.05166
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.04558
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.03486
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.02978
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.03354
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.03158
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.0268
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.02056
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.01824
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.02086
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.0258
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.03382
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.0332
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.03404
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.0325
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.03548
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.03706
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.0325
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.02648
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.02112
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.01438
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.009
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.00654
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.00356
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.00236
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00138
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00072
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.00064
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.0009
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.00144
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00198
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.00192
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.00234
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0.00208
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0.00158
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0.00122
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0.00072
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","7.2","7.3",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","7.3","7.4",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","7.4","7.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","7.5","7.6",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 1","1 wk ahead","Bin","percent","7.7","7.8",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 1","1 wk ahead","Bin","percent","7.9","8.0",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","8.0","8.1",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","8.1","8.2",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","8.2","8.3",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","8.3","8.4",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","8.4","8.5",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","8.5","8.6",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","8.6","8.7",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","8.7","8.8",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","8.8","8.9",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 1","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 1","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 1","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 1","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","1 wk ahead","Bin","percent","9.4","9.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 1","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 1","1 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 1","1 wk ahead","Bin","percent","10.0","10.1",0
