"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.6
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00136
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00606
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.02916
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.02202
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.03778
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.0545
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.07042
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.06988
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.06082
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.05514
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.06486
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.08902
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.09698
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.08198
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.06484
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.03612
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.01326
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0075
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00886
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01342
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.019
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02534
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.02188
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.01616
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00992
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00536
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00242
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00124
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.00166
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00144
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00204
