"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.6
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.0019
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.0066
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00384
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00082
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.00086
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.00228
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00354
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0043
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00892
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.01494
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01692
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.02106
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.03318
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.04618
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.04548
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.03728
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.03376
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0348
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.0391
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.04314
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.04072
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.03772
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.03338
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.03116
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02966
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.0256
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.01946
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.01622
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.01356
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.0129
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.0103
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.01218
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.01414
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01868
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.02496
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.02956
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.03326
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.0379
