Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,,,45.0
US National,Season onset,Bin,week,40,41,1.4706098619097322e-05
US National,Season onset,Bin,week,41,42,1.4706098619097322e-05
US National,Season onset,Bin,week,42,43,1.4706098619097322e-05
US National,Season onset,Bin,week,43,44,1.4706098619097322e-05
US National,Season onset,Bin,week,44,45,1.4706098619097322e-05
US National,Season onset,Bin,week,45,46,0.9995146987455689
US National,Season onset,Bin,week,46,47,1.4706098619097322e-05
US National,Season onset,Bin,week,47,48,1.4706098619097322e-05
US National,Season onset,Bin,week,48,49,1.4706098619097322e-05
US National,Season onset,Bin,week,49,50,1.4706098619097322e-05
US National,Season onset,Bin,week,50,51,1.4706098619097322e-05
US National,Season onset,Bin,week,51,52,1.4706098619097322e-05
US National,Season onset,Bin,week,52,53,1.4706098619097322e-05
US National,Season onset,Bin,week,1,2,1.4706098619097322e-05
US National,Season onset,Bin,week,2,3,1.4706098619097322e-05
US National,Season onset,Bin,week,3,4,1.4706098619097322e-05
US National,Season onset,Bin,week,4,5,1.4706098619097322e-05
US National,Season onset,Bin,week,5,6,1.4706098619097322e-05
US National,Season onset,Bin,week,6,7,1.4706098619097322e-05
US National,Season onset,Bin,week,7,8,1.4706098619097322e-05
US National,Season onset,Bin,week,8,9,1.4706098619097322e-05
US National,Season onset,Bin,week,9,10,1.4706098619097322e-05
US National,Season onset,Bin,week,10,11,1.4706098619097322e-05
US National,Season onset,Bin,week,11,12,1.4706098619097322e-05
US National,Season onset,Bin,week,12,13,1.4706098619097322e-05
US National,Season onset,Bin,week,13,14,1.4706098619097322e-05
US National,Season onset,Bin,week,14,15,1.4706098619097322e-05
US National,Season onset,Bin,week,15,16,1.4706098619097322e-05
US National,Season onset,Bin,week,16,17,1.4706098619097322e-05
US National,Season onset,Bin,week,17,18,1.4706098619097322e-05
US National,Season onset,Bin,week,18,19,1.4706098619097322e-05
US National,Season onset,Bin,week,19,20,1.4706098619097322e-05
US National,Season onset,Bin,week,20,21,1.4706098619097322e-05
US National,Season onset,Bin,week,none,none,1.4706098619097322e-05
US National,Season peak week,Point,week,,,52.0
US National,Season peak week,Bin,week,40,41,1.528959666043274e-05
US National,Season peak week,Bin,week,41,42,1.528959666043274e-05
US National,Season peak week,Bin,week,42,43,1.528959666043274e-05
US National,Season peak week,Bin,week,43,44,1.528959666043274e-05
US National,Season peak week,Bin,week,44,45,1.528959666043274e-05
US National,Season peak week,Bin,week,45,46,1.528959666043274e-05
US National,Season peak week,Bin,week,46,47,1.528959666043274e-05
US National,Season peak week,Bin,week,47,48,1.528959666043274e-05
US National,Season peak week,Bin,week,48,49,1.528959666043274e-05
US National,Season peak week,Bin,week,49,50,1.528959666043274e-05
US National,Season peak week,Bin,week,50,51,0.060941904271670795
US National,Season peak week,Bin,week,51,52,0.24248250973412133
US National,Season peak week,Bin,week,52,53,0.38399498152920486
US National,Season peak week,Bin,week,1,2,0.24248250973412133
US National,Season peak week,Bin,week,2,3,0.06094190427167078
US National,Season peak week,Bin,week,3,4,0.00619843151217491
US National,Season peak week,Bin,week,4,5,0.0004376860140530311
US National,Season peak week,Bin,week,5,6,0.0002113248049413995
US National,Season peak week,Bin,week,6,7,0.0002079575066472247
US National,Season peak week,Bin,week,7,8,0.00020793855480035308
US National,Season peak week,Bin,week,8,9,0.00020793851461382043
US National,Season peak week,Bin,week,9,10,0.00020793851458188523
US National,Season peak week,Bin,week,10,11,0.00020793851458188523
US National,Season peak week,Bin,week,11,12,0.00020793851458188523
US National,Season peak week,Bin,week,12,13,0.00020793851458188523
US National,Season peak week,Bin,week,13,14,0.00020793851458188523
US National,Season peak week,Bin,week,14,15,0.00020793851458188523
US National,Season peak week,Bin,week,15,16,0.00020793851458188523
US National,Season peak week,Bin,week,16,17,1.528959666043274e-05
US National,Season peak week,Bin,week,17,18,1.528959666043274e-05
US National,Season peak week,Bin,week,18,19,1.528959666043274e-05
US National,Season peak week,Bin,week,19,20,1.528959666043274e-05
US National,Season peak week,Bin,week,20,21,1.528959666043274e-05
US National,Season peak percentage,Point,percent,,,7.10013
US National,Season peak percentage,Bin,percent,0,0.1,0.0010000000005705905
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0010000000011478158
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0010000000022865772
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0010000000045103648
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0010000000088089332
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0010000000170336668
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0010000000326106807
US National,Season peak percentage,Bin,percent,0.7,0.8,0.001000000061812367
US National,Season peak percentage,Bin,percent,0.8,0.9,0.001000000115998699
US National,Season peak percentage,Bin,percent,0.9,1,0.0010000002155223463
US National,Season peak percentage,Bin,percent,1,1.1,0.0010000003964537579
US National,Season peak percentage,Bin,percent,1.1,1.2,0.001000000722027285
US National,Season peak percentage,Bin,percent,1.2,1.3,0.0010000013018933646
US National,Season peak percentage,Bin,percent,1.3,1.4,0.0010000023241165043
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0010000041077218285
US National,Season peak percentage,Bin,percent,1.5,1.6,0.0010000071879457788
US National,Season peak percentage,Bin,percent,1.6,1.7,0.0010000124528623557
US National,Season peak percentage,Bin,percent,1.7,1.8,0.00100002135965379
US National,Season peak percentage,Bin,percent,1.8,1.9,0.0010000362726976398
US National,Season peak percentage,Bin,percent,1.9,2,0.0010000609854353003
US National,Season peak percentage,Bin,percent,2,2.1,0.0010001015156564017
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0010001673017771562
US National,Season peak percentage,Bin,percent,2.2,2.3,0.0010002729786684384
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0010004409785843126
US National,Season peak percentage,Bin,percent,2.4,2.5,0.0010007052886900655
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0010011168040358505
US National,Season peak percentage,Bin,percent,2.6,2.7,0.001001750844861225
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0010027175590806878
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0010041761007002325
US National,Season peak percentage,Bin,percent,2.9,3,0.0010063536541493289
US National,Season peak percentage,Bin,percent,3,3.1,0.0010095705483530223
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0010142728504778842
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0010210739165319872
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0010308063639198003
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0010445857703958146
US National,Season peak percentage,Bin,percent,3.5,3.6,0.001063887038687703
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0010906337378692975
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0011272997867843514
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0011770215398001103
US National,Season peak percentage,Bin,percent,3.9,4,0.001243716653415966
US National,Season peak percentage,Bin,percent,4,4.1,0.0013322040732330876
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0014483171539762937
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0015989994415544241
