"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00056
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0007
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00764
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.02708
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.01664
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00508
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.01278
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.02062
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.02848
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.04156
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.03918
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.03286
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.03432
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.03092
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0384
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.04374
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.03922
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.03308
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.03754
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.04666
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.0483
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.04604
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.038
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0322
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.0274
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.02202
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.02112
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02114
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.021
