"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,2.7
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00134
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00018
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.00114
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00698
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.01684
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.01684
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0115
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.01318
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0299
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.04412
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.05132
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.05176
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0555
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.05138
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.04466
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.04194
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.03922
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.02992
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0153
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0111
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.01138
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.01534
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.01752
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.01626
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.01174
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00874
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00886
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.01456
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02058
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.02982
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.03714
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.03398
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.0316
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.02574
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.01842
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.01578
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.01414
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01244
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.00968
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.00844
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.00746
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.0081
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.00892
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.01018
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.01204
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.0124
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.01144
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.00914
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00724
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00512
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.00252
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.00204
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.00074
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00032
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 1","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 1","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 1","1 wk ahead","Bin","percent","7.4","7.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","7.5","7.6",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","7.6","7.7",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","7.7","7.8",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","7.8","7.9",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","7.9","8.0",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","8.0","8.1",0.0004
"HHS Region 1","1 wk ahead","Bin","percent","8.1","8.2",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","8.2","8.3",0.00064
