"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.4
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00452
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.02114
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0185
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.04798
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.07532
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.09528
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.09372
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.08694
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.07902
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.06458
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04952
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.04142
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.04206
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.04666
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.04418
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.03312
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.02772
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.02444
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01822
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.01286
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00854
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00636
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00538
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00568
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00454
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00304
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00284
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0027
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00296
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00442
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00384
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00324
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.00346
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.0023
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00198
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00114
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00072
