"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.01492
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.01876
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.07852
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.0431
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.06112
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.10828
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.14862
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.10836
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.13922
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.08738
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.04732
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04132
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0294
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.01922
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.01942
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.01376
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.00642
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00276
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00158
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00122
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00246
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00262
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00162
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00064
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0002
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00004
