"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0003
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00386
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.01832
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00718
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00126
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0051
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0088
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.01594
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0279
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.02596
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.0322
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.038
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.02898
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0383
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.04256
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.03296
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.02596
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.03798
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.05746
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.06872
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.06054
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.04836
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0363
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.02952
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.02346
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.02538
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02918
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.02546
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.02102
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.01772
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.01508
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.01648
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.0171
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.015
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.01342
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01286
