"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0.7413
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0.0292
"US National","Season onset","Bin","week","50","51",0.0684
"US National","Season onset","Bin","week","51","52",0.0418
"US National","Season onset","Bin","week","52","53",0.036
"US National","Season onset","Bin","week","1","2",0.0115
"US National","Season onset","Bin","week","2","3",0.0173
"US National","Season onset","Bin","week","3","4",0.0146
"US National","Season onset","Bin","week","4","5",0.0054
"US National","Season onset","Bin","week","5","6",0.0024
"US National","Season onset","Bin","week","6","7",0.0024
"US National","Season onset","Bin","week","7","8",0.0018
"US National","Season onset","Bin","week","8","9",0.0022
"US National","Season onset","Bin","week","9","10",6e-04
"US National","Season onset","Bin","week","10","11",0.0011
"US National","Season onset","Bin","week","11","12",7e-04
"US National","Season onset","Bin","week","12","13",0.001
"US National","Season onset","Bin","week","13","14",5e-04
"US National","Season onset","Bin","week","14","15",1e-04
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",3e-04
"US National","Season onset","Bin","week","17","18",1e-04
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.0213
"US National","Season peak week","Point","week",NA,NA,3
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0.00966921119592876
"US National","Season peak week","Bin","week","48","49",0.00390161153519932
"US National","Season peak week","Bin","week","49","50",0.0201017811704835
"US National","Season peak week","Bin","week","50","51",0.0439355385920271
"US National","Season peak week","Bin","week","51","52",0.109329940627651
"US National","Season peak week","Bin","week","52","53",0.138761662425785
"US National","Season peak week","Bin","week","1","2",0.0957591178965224
"US National","Season peak week","Bin","week","2","3",0.0782018659881255
"US National","Season peak week","Bin","week","3","4",0.0772688719253605
"US National","Season peak week","Bin","week","4","5",0.0840542832909245
"US National","Season peak week","Bin","week","5","6",0.080576759966073
"US National","Season peak week","Bin","week","6","7",0.0652247667514843
"US National","Season peak week","Bin","week","7","8",0.0542832909245123
"US National","Season peak week","Bin","week","8","9",0.0418999151823579
"US National","Season peak week","Bin","week","9","10",0.0307888040712468
"US National","Season peak week","Bin","week","10","11",0.0182357930449534
"US National","Season peak week","Bin","week","11","12",0.0149279050042409
"US National","Season peak week","Bin","week","12","13",0.0118744698897371
"US National","Season peak week","Bin","week","13","14",0.00754877014418999
"US National","Season peak week","Bin","week","14","15",0.00542832909245123
"US National","Season peak week","Bin","week","15","16",0.00288379983036472
"US National","Season peak week","Bin","week","16","17",0.00279898218829517
"US National","Season peak week","Bin","week","17","18",0.000932994062765056
"US National","Season peak week","Bin","week","18","19",0.000848176420695505
"US National","Season peak week","Bin","week","19","20",0.000424088210347753
"US National","Season peak week","Bin","week","20","21",0.000339270568278202
"US National","Season peak percentage","Point","percent",NA,NA,5.4
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.0114
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.0044
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0073
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.0119
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0063
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0078
"US National","Season peak percentage","Bin","percent","2.9","3",0.0091
"US National","Season peak percentage","Bin","percent","3","3.1",0.0076
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0161
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0194
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0165
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0242
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0264
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0225
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0162
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0115
"US National","Season peak percentage","Bin","percent","3.9","4",0.0121
"US National","Season peak percentage","Bin","percent","4","4.1",0.0124
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0133
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0229
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0323
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0301
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0232
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0292
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0274
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0204
"US National","Season peak percentage","Bin","percent","4.9","5",0.0143
"US National","Season peak percentage","Bin","percent","5","5.1",0.0124
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0105
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.009
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0089
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0161
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.026
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0269
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0326
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0343
"US National","Season peak percentage","Bin","percent","5.9","6",0.0313
"US National","Season peak percentage","Bin","percent","6","6.1",0.0234
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0278
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0198
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0092
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0095
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0115
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0139
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0124
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.016
"US National","Season peak percentage","Bin","percent","6.9","7",0.0179
"US National","Season peak percentage","Bin","percent","7","7.1",0.016
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0108
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0118
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0119
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0178
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0206
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0266
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0245
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0193
"US National","Season peak percentage","Bin","percent","7.9","8",0.0113
"US National","Season peak percentage","Bin","percent","8","8.1",0.0029
"US National","Season peak percentage","Bin","percent","8.1","8.2",7e-04
"US National","Season peak percentage","Bin","percent","8.2","8.3",2e-04
"US National","Season peak percentage","Bin","percent","8.3","8.4",0
"US National","Season peak percentage","Bin","percent","8.4","8.5",0
"US National","Season peak percentage","Bin","percent","8.5","8.6",0
"US National","Season peak percentage","Bin","percent","8.6","8.7",0
"US National","Season peak percentage","Bin","percent","8.7","8.8",0
"US National","Season peak percentage","Bin","percent","8.8","8.9",0
"US National","Season peak percentage","Bin","percent","8.9","9",0
"US National","Season peak percentage","Bin","percent","9","9.1",0
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",0
"US National","Season peak percentage","Bin","percent","9.3","9.4",0
"US National","Season peak percentage","Bin","percent","9.4","9.5",0
"US National","Season peak percentage","Bin","percent","9.5","9.6",0
"US National","Season peak percentage","Bin","percent","9.6","9.7",0
"US National","Season peak percentage","Bin","percent","9.7","9.8",0
"US National","Season peak percentage","Bin","percent","9.8","9.9",0
"US National","Season peak percentage","Bin","percent","9.9","10",0
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",0
"US National","Season peak percentage","Bin","percent","10.2","10.3",0
"US National","Season peak percentage","Bin","percent","10.3","10.4",0
"US National","Season peak percentage","Bin","percent","10.4","10.5",0
"US National","Season peak percentage","Bin","percent","10.5","10.6",0
"US National","Season peak percentage","Bin","percent","10.6","10.7",0
"US National","Season peak percentage","Bin","percent","10.7","10.8",0
"US National","Season peak percentage","Bin","percent","10.8","10.9",0
"US National","Season peak percentage","Bin","percent","10.9","11",0
"US National","Season peak percentage","Bin","percent","11","11.1",0
"US National","Season peak percentage","Bin","percent","11.1","11.2",0
"US National","Season peak percentage","Bin","percent","11.2","11.3",0
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",0
"US National","Season peak percentage","Bin","percent","11.5","11.6",0
"US National","Season peak percentage","Bin","percent","11.6","11.7",0
"US National","Season peak percentage","Bin","percent","11.7","11.8",0
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",0
"US National","Season peak percentage","Bin","percent","12.1","12.2",0
"US National","Season peak percentage","Bin","percent","12.2","12.3",0
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",0
"US National","1 wk ahead","Point","percent",NA,NA,2.5
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.009
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.0023
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0309
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0228
"US National","1 wk ahead","Bin","percent","1.9","2",0.0262
"US National","1 wk ahead","Bin","percent","2","2.1",0.0191
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0771
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0836
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0857
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0983
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0755
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0853
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.1254
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0685
"US National","1 wk ahead","Bin","percent","2.9","3",0.0464
"US National","1 wk ahead","Bin","percent","3","3.1",0.0217
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0514
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0352
"US National","1 wk ahead","Bin","percent","3.3","3.4",0
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0069
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0013
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.0062
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0016
"US National","1 wk ahead","Bin","percent","3.8","3.9",3e-04
"US National","1 wk ahead","Bin","percent","3.9","4",0.0022
"US National","1 wk ahead","Bin","percent","4","4.1",0.0063
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.0069
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.0038
"US National","1 wk ahead","Bin","percent","4.3","4.4",0
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",0
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
