location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,0.7
HHS Region 1,2 wk ahead,Point,percent,NA,NA,0.7
HHS Region 1,3 wk ahead,Point,percent,NA,NA,0.7
HHS Region 1,4 wk ahead,Point,percent,NA,NA,0.8
HHS Region 1,Season onset,Point,week,NA,NA,52
HHS Region 1,Season peak percentage,Point,percent,NA,NA,2.8
HHS Region 1,Season peak week,Point,week,NA,NA,7
HHS Region 10,1 wk ahead,Point,percent,NA,NA,1.2
HHS Region 10,2 wk ahead,Point,percent,NA,NA,1.3
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.4
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,Season onset,Point,week,NA,NA,51
HHS Region 10,Season peak percentage,Point,percent,NA,NA,5.6
HHS Region 10,Season peak week,Point,week,NA,NA,6
HHS Region 2,1 wk ahead,Point,percent,NA,NA,1.2
HHS Region 2,2 wk ahead,Point,percent,NA,NA,1.3
HHS Region 2,3 wk ahead,Point,percent,NA,NA,1.3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 2,Season onset,Point,week,NA,NA,51
HHS Region 2,Season peak percentage,Point,percent,NA,NA,4.3
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,1.3
HHS Region 3,2 wk ahead,Point,percent,NA,NA,1.4
HHS Region 3,3 wk ahead,Point,percent,NA,NA,1.5
HHS Region 3,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 3,Season onset,Point,week,NA,NA,3
HHS Region 3,Season peak percentage,Point,percent,NA,NA,5.6
HHS Region 3,Season peak week,Point,week,NA,NA,7
HHS Region 4,1 wk ahead,Point,percent,NA,NA,1.2
HHS Region 4,2 wk ahead,Point,percent,NA,NA,1.3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,1.5
HHS Region 4,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 4,Season onset,Point,week,NA,NA,51
HHS Region 4,Season peak percentage,Point,percent,NA,NA,4.1
HHS Region 4,Season peak week,Point,week,NA,NA,5
HHS Region 5,1 wk ahead,Point,percent,NA,NA,1
HHS Region 5,2 wk ahead,Point,percent,NA,NA,1
HHS Region 5,3 wk ahead,Point,percent,NA,NA,1.1
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.2
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,4
HHS Region 5,Season peak week,Point,week,NA,NA,7
HHS Region 6,1 wk ahead,Point,percent,NA,NA,2.3
HHS Region 6,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 6,3 wk ahead,Point,percent,NA,NA,2.6
HHS Region 6,4 wk ahead,Point,percent,NA,NA,2.9
HHS Region 6,Season onset,Point,week,NA,NA,2
HHS Region 6,Season peak percentage,Point,percent,NA,NA,7.4
HHS Region 6,Season peak week,Point,week,NA,NA,4
HHS Region 7,1 wk ahead,Point,percent,NA,NA,1
HHS Region 7,2 wk ahead,Point,percent,NA,NA,1
HHS Region 7,3 wk ahead,Point,percent,NA,NA,1
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.1
HHS Region 7,Season onset,Point,week,NA,NA,2
HHS Region 7,Season peak percentage,Point,percent,NA,NA,5.3
HHS Region 7,Season peak week,Point,week,NA,NA,6
HHS Region 8,1 wk ahead,Point,percent,NA,NA,0.4
HHS Region 8,2 wk ahead,Point,percent,NA,NA,0.5
HHS Region 8,3 wk ahead,Point,percent,NA,NA,0.7
HHS Region 8,4 wk ahead,Point,percent,NA,NA,0.8
HHS Region 8,Season onset,Point,week,NA,NA,5
HHS Region 8,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 8,Season peak week,Point,week,NA,NA,6
HHS Region 9,1 wk ahead,Point,percent,NA,NA,2.3
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 9,Season onset,Point,week,NA,NA,5
HHS Region 9,Season peak percentage,Point,percent,NA,NA,6
HHS Region 9,Season peak week,Point,week,NA,NA,4
US National,1 wk ahead,Point,percent,NA,NA,1.4
US National,2 wk ahead,Point,percent,NA,NA,1.6
US National,3 wk ahead,Point,percent,NA,NA,1.7
US National,4 wk ahead,Point,percent,NA,NA,1.9
US National,Season onset,Point,week,NA,NA,50
US National,Season peak percentage,Point,percent,NA,NA,4.1
US National,Season peak week,Point,week,NA,NA,6
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.2865449211339e-09
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.20344112988596e-08
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00400002780803157
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.0140000513660539
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0360000722584332
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.120000027351147
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.179999983607187
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.251999900463163
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.167999951436339
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.111999969753574
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0619999858325613
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0220000006756605
