"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0.7226
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0.1826
"US National","Season onset","Bin","week","51","52",0.0639
"US National","Season onset","Bin","week","52","53",0.0076
"US National","Season onset","Bin","week","1","2",0.000900000000000001
"US National","Season onset","Bin","week","2","3",0.0049
"US National","Season onset","Bin","week","3","4",0.0059
"US National","Season onset","Bin","week","4","5",0.0045
"US National","Season onset","Bin","week","5","6",0.0021
"US National","Season onset","Bin","week","6","7",0.0013
"US National","Season onset","Bin","week","7","8",7e-04
"US National","Season onset","Bin","week","8","9",1e-04
"US National","Season onset","Bin","week","9","10",2e-04
"US National","Season onset","Bin","week","10","11",2e-04
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",1e-04
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.0024
"US National","Season peak week","Point","week",NA,NA,6
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0.000672890907561612
"US National","Season peak week","Bin","week","48","49",0.000672890907561612
"US National","Season peak week","Bin","week","49","50",0.00058877954411641
"US National","Season peak week","Bin","week","50","51",0.00126167045167802
"US National","Season peak week","Bin","week","51","52",0.0354108840104298
"US National","Season peak week","Bin","week","52","53",0.112204558835899
"US National","Season peak week","Bin","week","1","2",0.0153082681470267
"US National","Season peak week","Bin","week","2","3",0.0166540499621499
"US National","Season peak week","Bin","week","3","4",0.0385230044579023
"US National","Season peak week","Bin","week","4","5",0.0561022794179494
"US National","Season peak week","Bin","week","5","6",0.0915131634283792
"US National","Season peak week","Bin","week","6","7",0.202876608629826
"US National","Season peak week","Bin","week","7","8",0.205820506350408
"US National","Season peak week","Bin","week","8","9",0.109681217932543
"US National","Season peak week","Bin","week","9","10",0.032130540836067
"US National","Season peak week","Bin","week","10","11",0.0432332408108336
"US National","Season peak week","Bin","week","11","12",0.0163176045083691
"US National","Season peak week","Bin","week","12","13",0.011691479518883
"US National","Season peak week","Bin","week","13","14",0.00630835225839011
"US National","Season peak week","Bin","week","14","15",0.00176633863234923
"US National","Season peak week","Bin","week","15","16",0.00058877954411641
"US National","Season peak week","Bin","week","16","17",0.000420556817226007
"US National","Season peak week","Bin","week","17","18",0.000168222726890403
"US National","Season peak week","Bin","week","18","19",0
"US National","Season peak week","Bin","week","19","20",8.41113634452015e-05
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,6
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",8e-04
"US National","Season peak percentage","Bin","percent","2.3","2.4",5e-04
"US National","Season peak percentage","Bin","percent","2.4","2.5",7e-04
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.0015
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.002
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0032
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0046
"US National","Season peak percentage","Bin","percent","2.9","3",0.0048
"US National","Season peak percentage","Bin","percent","3","3.1",0.0059
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0064
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0081
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0105
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0109
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0119
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0128
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0175
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0152
"US National","Season peak percentage","Bin","percent","3.9","4",0.0174
"US National","Season peak percentage","Bin","percent","4","4.1",0.0155
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0188
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0176
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0193
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0183
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0182
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0199
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0184
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0191
"US National","Season peak percentage","Bin","percent","4.9","5",0.02
"US National","Season peak percentage","Bin","percent","5","5.1",0.0212
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0186
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0174
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0169
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0162
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0172
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0154
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0149
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0149
"US National","Season peak percentage","Bin","percent","5.9","6",0.0149
"US National","Season peak percentage","Bin","percent","6","6.1",0.0162
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0151
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0154
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0187
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.013
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0133
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0153
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0104
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0132
"US National","Season peak percentage","Bin","percent","6.9","7",0.0106
"US National","Season peak percentage","Bin","percent","7","7.1",0.011
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0125
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0088
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0094
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0104
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0103
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0105
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0105
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.01
"US National","Season peak percentage","Bin","percent","7.9","8",0.0087
"US National","Season peak percentage","Bin","percent","8","8.1",0.0087
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0079
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0074
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0061
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.0065
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0063
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.0065
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0068
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0073
"US National","Season peak percentage","Bin","percent","8.9","9",0.0052
"US National","Season peak percentage","Bin","percent","9","9.1",0.0053
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0051
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0042
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.0058
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.005
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.0046
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.004
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0042
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.0039
"US National","Season peak percentage","Bin","percent","9.9","10",0.0054
"US National","Season peak percentage","Bin","percent","10","10.1",0.004
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0038
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0037
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0034
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0043
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.0027
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0029
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0026
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.0036
"US National","Season peak percentage","Bin","percent","10.9","11",0.0033
"US National","Season peak percentage","Bin","percent","11","11.1",0.0037
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0026
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.0028
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.0032
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.0031
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.0017
"US National","Season peak percentage","Bin","percent","11.6","11.7",0.0035
"US National","Season peak percentage","Bin","percent","11.7","11.8",0.0025
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.0027
"US National","Season peak percentage","Bin","percent","11.9","12",0.0018
"US National","Season peak percentage","Bin","percent","12","12.1",0.0019
"US National","Season peak percentage","Bin","percent","12.1","12.2",0.0014
"US National","Season peak percentage","Bin","percent","12.2","12.3",0.002
"US National","Season peak percentage","Bin","percent","12.3","12.4",0.002
"US National","Season peak percentage","Bin","percent","12.4","12.5",0.0023
"US National","Season peak percentage","Bin","percent","12.5","12.6",0.0015
"US National","Season peak percentage","Bin","percent","12.6","12.7",0.0017
"US National","Season peak percentage","Bin","percent","12.7","12.8",0.0018
"US National","Season peak percentage","Bin","percent","12.8","12.9",0.0013
"US National","Season peak percentage","Bin","percent","12.9","13",0.0016
"US National","Season peak percentage","Bin","percent","13","100",0.0737
"US National","1 wk ahead","Point","percent",NA,NA,2.3
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",4e-04
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.0016
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.0042
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0134
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0267
"US National","1 wk ahead","Bin","percent","1.9","2",0.0488
"US National","1 wk ahead","Bin","percent","2","2.1",0.0792
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.1031
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.1179
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.1147
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.1102
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0963
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0782
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0631
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0448
"US National","1 wk ahead","Bin","percent","2.9","3",0.0308
"US National","1 wk ahead","Bin","percent","3","3.1",0.0224
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0165
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.01
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0081
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0038
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0026
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.001
"US National","1 wk ahead","Bin","percent","3.7","3.8",7e-04
"US National","1 wk ahead","Bin","percent","3.8","3.9",7e-04
"US National","1 wk ahead","Bin","percent","3.9","4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4","4.1",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.1","4.2",2e-04
"US National","1 wk ahead","Bin","percent","4.2","4.3",2e-04
"US National","1 wk ahead","Bin","percent","4.3","4.4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.4","4.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",0
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
