"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",1
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,6
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0.00232979549572871
"US National","Season peak week","Bin","week","51","52",0.0346017775476745
"US National","Season peak week","Bin","week","52","53",0.110622141686082
"US National","Season peak week","Bin","week","1","2",0.0167400120804211
"US National","Season peak week","Bin","week","2","3",0.0159634135818448
"US National","Season peak week","Bin","week","3","4",0.0406419880921563
"US National","Season peak week","Bin","week","4","5",0.0542756061782725
"US National","Season peak week","Bin","week","5","6",0.0907757356113556
"US National","Season peak week","Bin","week","6","7",0.208387263784623
"US National","Season peak week","Bin","week","7","8",0.208904996117007
"US National","Season peak week","Bin","week","8","9",0.109414099577185
"US National","Season peak week","Bin","week","9","10",0.0301147640003451
"US National","Season peak week","Bin","week","10","11",0.0434895159202692
"US National","Season peak week","Bin","week","11","12",0.0142376391405643
"US National","Season peak week","Bin","week","12","13",0.0104409353697472
"US National","Season peak week","Bin","week","13","14",0.00698938648718613
"US National","Season peak week","Bin","week","14","15",0.000949175942704289
"US National","Season peak week","Bin","week","15","16",0.000431443610320131
"US National","Season peak week","Bin","week","16","17",0.000517732332384157
"US National","Season peak week","Bin","week","17","18",0
"US National","Season peak week","Bin","week","18","19",8.62887220640263e-05
"US National","Season peak week","Bin","week","19","20",8.62887220640263e-05
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,5.8
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0027
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0023
"US National","Season peak percentage","Bin","percent","2.9","3",0.003
"US National","Season peak percentage","Bin","percent","3","3.1",0.0031
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0043
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0088
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0106
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0095
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0121
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0164
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0172
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0186
"US National","Season peak percentage","Bin","percent","3.9","4",0.0203
"US National","Season peak percentage","Bin","percent","4","4.1",0.018
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0197
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0199
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.021
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.022
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0203
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0242
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0208
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0217
"US National","Season peak percentage","Bin","percent","4.9","5",0.0212
"US National","Season peak percentage","Bin","percent","5","5.1",0.0219
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0212
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0206
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.019
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0204
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0194
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0186
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0185
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0178
"US National","Season peak percentage","Bin","percent","5.9","6",0.0157
"US National","Season peak percentage","Bin","percent","6","6.1",0.016
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0153
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0162
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0157
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0118
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0134
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0119
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0138
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0118
"US National","Season peak percentage","Bin","percent","6.9","7",0.013
"US National","Season peak percentage","Bin","percent","7","7.1",0.0104
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0107
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0095
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0107
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0099
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.008
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0081
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0089
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0071
"US National","Season peak percentage","Bin","percent","7.9","8",0.0087
"US National","Season peak percentage","Bin","percent","8","8.1",0.009
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0097
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0081
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0064
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.0061
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0064
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.005
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0069
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0061
"US National","Season peak percentage","Bin","percent","8.9","9",0.0055
"US National","Season peak percentage","Bin","percent","9","9.1",0.0052
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0029
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0045
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.003
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.0043
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.0026
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.0052
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0044
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.0044
"US National","Season peak percentage","Bin","percent","9.9","10",0.0035
"US National","Season peak percentage","Bin","percent","10","10.1",0.0035
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0037
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0031
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0038
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0027
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.003
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0027
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0026
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.0028
"US National","Season peak percentage","Bin","percent","10.9","11",0.0025
"US National","Season peak percentage","Bin","percent","11","11.1",0.0029
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0028
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.0026
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.0022
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.0018
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.0021
"US National","Season peak percentage","Bin","percent","11.6","11.7",0.0029
"US National","Season peak percentage","Bin","percent","11.7","11.8",0.0017
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.002
"US National","Season peak percentage","Bin","percent","11.9","12",0.0017
"US National","Season peak percentage","Bin","percent","12","12.1",0.0019
"US National","Season peak percentage","Bin","percent","12.1","12.2",0.0013
"US National","Season peak percentage","Bin","percent","12.2","12.3",0.0013
"US National","Season peak percentage","Bin","percent","12.3","12.4",0.0023
"US National","Season peak percentage","Bin","percent","12.4","12.5",0.0015
"US National","Season peak percentage","Bin","percent","12.5","12.6",0.0014
"US National","Season peak percentage","Bin","percent","12.6","12.7",0.001
"US National","Season peak percentage","Bin","percent","12.7","12.8",0.0012
"US National","Season peak percentage","Bin","percent","12.8","12.9",8e-04
"US National","Season peak percentage","Bin","percent","12.9","13",0.0014
"US National","Season peak percentage","Bin","percent","13","100",0.0619
"US National","1 wk ahead","Point","percent",NA,NA,3.4
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",0
"US National","1 wk ahead","Bin","percent","1.7","1.8",0
"US National","1 wk ahead","Bin","percent","1.8","1.9",0
"US National","1 wk ahead","Bin","percent","1.9","2",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","2","2.1",8e-04
"US National","1 wk ahead","Bin","percent","2.1","2.2",7e-04
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0016
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0037
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0092
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0155
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0212
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0341
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0377
"US National","1 wk ahead","Bin","percent","2.9","3",0.0518
"US National","1 wk ahead","Bin","percent","3","3.1",0.0653
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0671
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0714
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0694
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0737
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0696
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.0602
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0534
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0497
"US National","1 wk ahead","Bin","percent","3.9","4",0.0425
"US National","1 wk ahead","Bin","percent","4","4.1",0.0368
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.032
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.025
"US National","1 wk ahead","Bin","percent","4.3","4.4",0.0204
"US National","1 wk ahead","Bin","percent","4.4","4.5",0.0171
"US National","1 wk ahead","Bin","percent","4.5","4.6",0.0137
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.0123
"US National","1 wk ahead","Bin","percent","4.7","4.8",0.0089
"US National","1 wk ahead","Bin","percent","4.8","4.9",0.0085
"US National","1 wk ahead","Bin","percent","4.9","5",0.0055
"US National","1 wk ahead","Bin","percent","5","5.1",0.0054
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.004
"US National","1 wk ahead","Bin","percent","5.2","5.3",0.0028
"US National","1 wk ahead","Bin","percent","5.3","5.4",0.0019
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.0016
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0017
"US National","1 wk ahead","Bin","percent","5.6","5.7",7e-04
"US National","1 wk ahead","Bin","percent","5.7","5.8",0.000900000000000001
"US National","1 wk ahead","Bin","percent","5.8","5.9",4e-04
"US National","1 wk ahead","Bin","percent","5.9","6",2e-04
"US National","1 wk ahead","Bin","percent","6","6.1",7e-04
"US National","1 wk ahead","Bin","percent","6.1","6.2",4e-04
"US National","1 wk ahead","Bin","percent","6.2","6.3",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
