"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","Season onset","Bin","week","40","41","0.08029999999999999638067294"
"HHS Region 1","Season onset","Bin","week","41","42","0.03389999999999999957811525"
"HHS Region 1","Season onset","Bin","week","42","43","0.19381999999999999229061132"
"HHS Region 1","Season onset","Bin","week","43","44","0.64534000000000002472688720"
"HHS Region 1","Season onset","Bin","week","44","45","0.03506000000000000088595797"
"HHS Region 1","Season onset","Bin","week","45","46","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","46","47","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","47","48","0.01017999999999999981292742"
"HHS Region 1","Season onset","Bin","week","48","49","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","49","50","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","50","51","0.00029999999999999997371894"
"HHS Region 1","Season onset","Bin","week","51","52","0.00012000000000000000304010"
"HHS Region 1","Season onset","Bin","week","52","53","0.00012000000000000000304010"
"HHS Region 1","Season onset","Bin","week","1","2","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","2","3","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","3","4","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","4","5","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","5","6","0.00008000000000000000654424"
"HHS Region 1","Season onset","Bin","week","6","7","0.00012000000000000000304010"
"HHS Region 1","Season onset","Bin","week","7","8","0.00010000000000000000479217"
"HHS Region 1","Season onset","Bin","week","8","9","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","9","10","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","10","11","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","11","12","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","12","13","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","13","14","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","14","15","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","15","16","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","16","17","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","17","18","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","18","19","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","19","20","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","20","21","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","none","none","0.00027999999999999997547101"
"HHS Region 1","Season peak percentage","Bin","percent","0","0.1","0.00000000000000000000000000"
