"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.9
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00096
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00414
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.00666
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.02338
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.02086
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.0356
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.05282
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.07246
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.07042
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.05172
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04418
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.03988
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.04476
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.04678
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0401
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.03552
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.03816
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.0415
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.04226
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0412
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.0401
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.03682
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0354
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.02982
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.02056
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.01148
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00664
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.0032
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0022
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00238
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00274
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00336
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00246
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.00256
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.00188
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00144
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00164
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.00276
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.00398
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.005
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.00518
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.00492
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.00372
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.00272
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.00188
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.00162
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.00134
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.0014
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.00124
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.00116
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00076
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00064
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.0004
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0
