"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","Season onset","Bin","week","40","41","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","41","42","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","42","43","0.01005999999999999949817919"
"HHS Region 1","Season onset","Bin","week","43","44","0.03014000000000000012434498"
"HHS Region 1","Season onset","Bin","week","44","45","0.61028000000000004465761094"
"HHS Region 1","Season onset","Bin","week","45","46","0.25019999999999997797317519"
"HHS Region 1","Season onset","Bin","week","46","47","0.05924000000000000099031894"
"HHS Region 1","Season onset","Bin","week","47","48","0.01993999999999999939159778"
"HHS Region 1","Season onset","Bin","week","48","49","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","49","50","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","50","51","0.01545999999999999978406162"
"HHS Region 1","Season onset","Bin","week","51","52","0.00027999999999999997547101"
"HHS Region 1","Season onset","Bin","week","52","53","0.00051999999999999995444616"
"HHS Region 1","Season onset","Bin","week","1","2","0.00080000000000000003833739"
"HHS Region 1","Season onset","Bin","week","2","3","0.00025999999999999997722308"
"HHS Region 1","Season onset","Bin","week","3","4","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","4","5","0.00008000000000000000654424"
"HHS Region 1","Season onset","Bin","week","5","6","0.00006000000000000000152005"
"HHS Region 1","Season onset","Bin","week","6","7","0.00008000000000000000654424"
"HHS Region 1","Season onset","Bin","week","7","8","0.00008000000000000000654424"
"HHS Region 1","Season onset","Bin","week","8","9","0.00012000000000000000304010"
"HHS Region 1","Season onset","Bin","week","9","10","0.00010000000000000000479217"
"HHS Region 1","Season onset","Bin","week","10","11","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","11","12","0.00006000000000000000152005"
"HHS Region 1","Season onset","Bin","week","12","13","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","13","14","0.00004000000000000000327212"
"HHS Region 1","Season onset","Bin","week","14","15","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","15","16","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","16","17","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","17","18","0.00002000000000000000163606"
"HHS Region 1","Season onset","Bin","week","18","19","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","19","20","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","20","21","0.00000000000000000000000000"
"HHS Region 1","Season onset","Bin","week","none","none","0.00204000000000000014654944"
"HHS Region 1","Season peak percentage","Bin","percent","0","0.1","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.1","0.2","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.2","0.3","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.3","0.4","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.4","0.5","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.5","0.6","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.6","0.7","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.7","0.8","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.8","0.9","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","0.9","1","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1","1.1","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1.1","1.2","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1.2","1.3","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1.3","1.4","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1.4","1.5","0.00000000000000000000000000"
"HHS Region 1","Season peak percentage","Bin","percent","1.5","1.6","0.00018000000000000001133642"
"HHS Region 1","Season peak percentage","Bin","percent","1.6","1.7","0.00008000000000000000654424"
"HHS Region 1","Season peak percentage","Bin","percent","1.7","1.8","0.00008000000000000000654424"
"HHS Region 1","Season peak percentage","Bin","percent","1.8","1.9","0.00008000000000000000654424"
"HHS Region 1","Season peak percentage","Bin","percent","1.9","2","0.00058000000000000000340006"
"HHS Region 1","Season peak percentage","Bin","percent","2","2.1","0.00213999999999999997515876"
"HHS Region 1","Season peak percentage","Bin","percent","2.1","2.2","0.00744000000000000043243187"
"HHS Region 1","Season peak percentage","Bin","percent","2.2","2.3","0.04456000000000000238475906"
"HHS Region 1","Season peak percentage","Bin","percent","2.3","2.4","0.04746000000000000218491891"
"HHS Region 1","Season peak percentage","Bin","percent","2.4","2.5","0.02435999999999999970912157"
