"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.9
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00128
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00642
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.008
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.02692
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.0359
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.04094
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.05196
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.06126
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.06718
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0609
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04698
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0418
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0473
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.05744
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0586
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.05272
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.05198
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.04666
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.03848
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.02914
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02198
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.01646
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.01526
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.01514
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.01348
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00962
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00734
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.00424
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00404
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00414
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.0041
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00458
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00456
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.00368
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.00242
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00274
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00194
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00202
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.00216
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.00292
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.00336
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.00386
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.00368
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.00282
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.00244
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.00174
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.00136
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.001
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.00058
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.00072
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.00084
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00038
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.00022
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.00038
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0
