"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.7
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.00018
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00214
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.00636
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00614
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00264
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.00086
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.00108
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.00254
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.0038
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.00648
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.01158
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.01716
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.021
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0232
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02748
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.03112
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.03622
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.03514
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.03666
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.03584
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.03754
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.03586
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0368
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.0372
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.03348
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.03132
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.02938
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.02768
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.0255
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.0212
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.01834
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.01626
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.01528
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.01586
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.01598
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01792
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.02178
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.02428
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.02694
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.02766
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.02722
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.02732
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.0265
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.02182
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.01732
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.01298
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00994
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00694
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.0049
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.00314
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.0022
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00164
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.0012
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.00104
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0.00104
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0.00098
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0.00082
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0.001
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0.0008
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0.00094
"HHS Region 1","1 wk ahead","Bin","percent","7.2","7.3",0.00096
"HHS Region 1","1 wk ahead","Bin","percent","7.3","7.4",0.00076
"HHS Region 1","1 wk ahead","Bin","percent","7.4","7.5",0.0005
"HHS Region 1","1 wk ahead","Bin","percent","7.5","7.6",0.00056
"HHS Region 1","1 wk ahead","Bin","percent","7.6","7.7",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","7.7","7.8",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","7.8","7.9",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","7.9","8.0",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","8.0","8.1",0.00018
"HHS Region 1","1 wk ahead","Bin","percent","8.1","8.2",0.00018
"HHS Region 1","1 wk ahead","Bin","percent","8.2","8.3",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","8.3","8.4",0.00022
"HHS Region 1","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 1","1 wk ahead","Bin","percent","8.5","8.6",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","8.6","8.7",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","8.7","8.8",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","8.8","8.9",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","8.9","9.0",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","9.0","9.1",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","9.1","9.2",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","9.2","9.3",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","9.3","9.4",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","9.4","9.5",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","9.5","9.6",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 1","1 wk ahead","Bin","percent","9.7","9.8",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","9.8","9.9",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","9.9","10.0",0.0001
