"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.9
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00368
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00308
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.00096
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.00416
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.00582
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.0062
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.01058
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.02076
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.05166
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.11158
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.10652
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.07446
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.06898
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.07526
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.07202
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0675
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.065
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.06286
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.05274
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.03796
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.02458
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.01434
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00834
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00488
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.0039
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00414
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.0042
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.00378
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.00316
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00192
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00098
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00132
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00132
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.00126
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.00142
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00148
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00196
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.0025
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.00178
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.00228
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.00166
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.00136
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.00074
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.00052
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.00034
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.00032
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.0003
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.00034
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0
