"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.3
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00038
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00508
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.03024
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.02764
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.04252
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.08604
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.1193
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.12316
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.08324
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.06994
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.05564
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.06108
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.0671
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.06466
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0555
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.03332
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.01562
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00658
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00404
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00446
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00646
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00786
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00842
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0052
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0026
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00166
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00086
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.00116
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.00172
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.0019
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.00194
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.00146
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.00084
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.00042
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.00038
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.00012
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00004
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.00016
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.00032
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.00016
