"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00026
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00106
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.01138
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0442
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.04612
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.07564
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.1251
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.12442
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.13
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.07434
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.05482
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.0537
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.0571
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.04896
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.04858
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.04046
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.02346
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0092
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00372
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00184
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00186
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00262
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00478
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.00338
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.0028
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.0011
