"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,2.3
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.00208
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.00034
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.0055
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00704
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.01602
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.01774
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00978
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.02712
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.05184
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.0604
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.09118
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.09156
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.08628
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.08332
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.0637
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.06376
