Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 1,1 wk ahead,Point,percent,NA,NA, 2.200000000000
HHS Region 1,2 wk ahead,Point,percent,NA,NA, 2.200000000000
HHS Region 1,3 wk ahead,Point,percent,NA,NA, 2.000000000000
HHS Region 1,4 wk ahead,Point,percent,NA,NA, 1.700000000000
HHS Region 1,Season onset,Point,week,NA,NA,51.000000000000
HHS Region 1,Season peak percentage,Point,percent,NA,NA, 2.800000000000
HHS Region 1,Season peak week,Point,week,NA,NA, 6.000000000000
HHS Region 10,1 wk ahead,Point,percent,NA,NA, 2.500000000000
HHS Region 10,2 wk ahead,Point,percent,NA,NA, 2.500000000000
HHS Region 10,3 wk ahead,Point,percent,NA,NA, 2.600000000000
HHS Region 10,4 wk ahead,Point,percent,NA,NA, 2.200000000000
HHS Region 10,Season onset,Point,week,NA,NA,52.000000000000
HHS Region 10,Season peak percentage,Point,percent,NA,NA, 4.200000000000
HHS Region 10,Season peak week,Point,week,NA,NA, 6.000000000000
HHS Region 2,1 wk ahead,Point,percent,NA,NA, 3.300000000000
HHS Region 2,2 wk ahead,Point,percent,NA,NA, 3.200000000000
HHS Region 2,3 wk ahead,Point,percent,NA,NA, 3.200000000000
HHS Region 2,4 wk ahead,Point,percent,NA,NA, 2.800000000000
HHS Region 2,Season onset,Point,week,NA,NA,49.000000000000
HHS Region 2,Season peak percentage,Point,percent,NA,NA, 4.600000000000
HHS Region 2,Season peak week,Point,week,NA,NA, 4.000000000000
HHS Region 3,1 wk ahead,Point,percent,NA,NA, 3.600000000000
HHS Region 3,2 wk ahead,Point,percent,NA,NA, 3.800000000000
HHS Region 3,3 wk ahead,Point,percent,NA,NA, 3.700000000000
HHS Region 3,4 wk ahead,Point,percent,NA,NA, 3.000000000000
HHS Region 3,Season onset,Point,week,NA,NA,51.000000000000
HHS Region 3,Season peak percentage,Point,percent,NA,NA, 5.700000000000
HHS Region 3,Season peak week,Point,week,NA,NA, 5.000000000000
HHS Region 4,1 wk ahead,Point,percent,NA,NA, 2.800000000000
HHS Region 4,2 wk ahead,Point,percent,NA,NA, 3.000000000000
HHS Region 4,3 wk ahead,Point,percent,NA,NA, 2.900000000000
HHS Region 4,4 wk ahead,Point,percent,NA,NA, 2.500000000000
HHS Region 4,Season onset,Point,week,NA,NA,49.000000000000
HHS Region 4,Season peak percentage,Point,percent,NA,NA, 4.700000000000
HHS Region 4,Season peak week,Point,week,NA,NA, 5.000000000000
HHS Region 5,1 wk ahead,Point,percent,NA,NA, 2.700000000000
HHS Region 5,2 wk ahead,Point,percent,NA,NA, 2.800000000000
HHS Region 5,3 wk ahead,Point,percent,NA,NA, 3.000000000000
HHS Region 5,4 wk ahead,Point,percent,NA,NA, 2.800000000000
HHS Region 5,Season onset,Point,week,NA,NA, 1.000000000000
HHS Region 5,Season peak percentage,Point,percent,NA,NA, 4.300000000000
HHS Region 5,Season peak week,Point,week,NA,NA, 7.000000000000
HHS Region 6,1 wk ahead,Point,percent,NA,NA, 5.200000000000
HHS Region 6,2 wk ahead,Point,percent,NA,NA, 5.400000000000
HHS Region 6,3 wk ahead,Point,percent,NA,NA, 4.900000000000
HHS Region 6,4 wk ahead,Point,percent,NA,NA, 4.200000000000
HHS Region 6,Season onset,Point,week,NA,NA,52.000000000000
HHS Region 6,Season peak percentage,Point,percent,NA,NA, 8.400000000000
HHS Region 6,Season peak week,Point,week,NA,NA, 4.000000000000
HHS Region 7,1 wk ahead,Point,percent,NA,NA, 3.600000000000
