"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",1
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,3
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0.046519792855262
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0.0150969893794435
"US National","Season peak week","Bin","week","51","52",0.0484508031247257
"US National","Season peak week","Bin","week","52","53",0.0749583077328184
"US National","Season peak week","Bin","week","1","2",0.116562801720355
"US National","Season peak week","Bin","week","2","3",0.114982884227157
"US National","Season peak week","Bin","week","3","4",0.137628368296322
"US National","Season peak week","Bin","week","4","5",0.097164925831651
"US National","Season peak week","Bin","week","5","6",0.0785570086895462
"US National","Season peak week","Bin","week","6","7",0.0516984113051874
"US National","Season peak week","Bin","week","7","8",0.0500307206179233
"US National","Season peak week","Bin","week","8","9",0.0391468445536733
"US National","Season peak week","Bin","week","9","10",0.0302817519529536
"US National","Season peak week","Bin","week","10","11",0.0218555253225665
"US National","Season peak week","Bin","week","11","12",0.0216799789344334
"US National","Season peak week","Bin","week","12","13",0.0159747213201088
"US National","Season peak week","Bin","week","13","14",0.0120249275871149
"US National","Season peak week","Bin","week","14","15",0.00833845343632054
"US National","Season peak week","Bin","week","15","16",0.00605635039059071
"US National","Season peak week","Bin","week","16","17",0.00456420609145967
"US National","Season peak week","Bin","week","17","18",0.00351092776266128
"US National","Season peak week","Bin","week","18","19",0.00193101026946371
"US National","Season peak week","Bin","week","19","20",0.00184323707539717
"US National","Season peak week","Bin","week","20","21",0.00114105152286492
"US National","Season peak percentage","Point","percent",NA,NA,4.7
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.053
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.0152
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.0099
"US National","Season peak percentage","Bin","percent","2.9","3",0.0133
"US National","Season peak percentage","Bin","percent","3","3.1",0.012
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0205
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0211
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.02
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.022
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.033
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0298
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0185
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0168
"US National","Season peak percentage","Bin","percent","3.9","4",0.0169
"US National","Season peak percentage","Bin","percent","4","4.1",0.0157
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0153
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0203
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0275
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0354
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0314
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0415
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0355
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0222
"US National","Season peak percentage","Bin","percent","4.9","5",0.0113
"US National","Season peak percentage","Bin","percent","5","5.1",0.0076
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0102
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0095
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0116
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0183
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0229
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0272
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0318
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0246
"US National","Season peak percentage","Bin","percent","5.9","6",0.0205
"US National","Season peak percentage","Bin","percent","6","6.1",0.0175
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0191
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0143
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0127
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0075
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0065
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0059
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.008
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0106
"US National","Season peak percentage","Bin","percent","6.9","7",0.0163
"US National","Season peak percentage","Bin","percent","7","7.1",0.0175
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0192
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0147
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0096
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0091
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0096
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0094
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0142
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0112
"US National","Season peak percentage","Bin","percent","7.9","8",0.0105
"US National","Season peak percentage","Bin","percent","8","8.1",0.0063
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0043
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0016
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0017
"US National","Season peak percentage","Bin","percent","8.4","8.5",4e-04
"US National","Season peak percentage","Bin","percent","8.5","8.6",0
"US National","Season peak percentage","Bin","percent","8.6","8.7",0
"US National","Season peak percentage","Bin","percent","8.7","8.8",0
"US National","Season peak percentage","Bin","percent","8.8","8.9",0
"US National","Season peak percentage","Bin","percent","8.9","9",0
"US National","Season peak percentage","Bin","percent","9","9.1",0
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",0
"US National","Season peak percentage","Bin","percent","9.3","9.4",0
"US National","Season peak percentage","Bin","percent","9.4","9.5",0
"US National","Season peak percentage","Bin","percent","9.5","9.6",0
"US National","Season peak percentage","Bin","percent","9.6","9.7",0
"US National","Season peak percentage","Bin","percent","9.7","9.8",0
"US National","Season peak percentage","Bin","percent","9.8","9.9",0
"US National","Season peak percentage","Bin","percent","9.9","10",0
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",0
"US National","Season peak percentage","Bin","percent","10.2","10.3",0
"US National","Season peak percentage","Bin","percent","10.3","10.4",0
"US National","Season peak percentage","Bin","percent","10.4","10.5",0
"US National","Season peak percentage","Bin","percent","10.5","10.6",0
"US National","Season peak percentage","Bin","percent","10.6","10.7",0
"US National","Season peak percentage","Bin","percent","10.7","10.8",0
"US National","Season peak percentage","Bin","percent","10.8","10.9",0
"US National","Season peak percentage","Bin","percent","10.9","11",0
"US National","Season peak percentage","Bin","percent","11","11.1",0
"US National","Season peak percentage","Bin","percent","11.1","11.2",0
"US National","Season peak percentage","Bin","percent","11.2","11.3",0
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",0
"US National","Season peak percentage","Bin","percent","11.5","11.6",0
"US National","Season peak percentage","Bin","percent","11.6","11.7",0
"US National","Season peak percentage","Bin","percent","11.7","11.8",0
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",0
"US National","Season peak percentage","Bin","percent","12.1","12.2",0
"US National","Season peak percentage","Bin","percent","12.2","12.3",0
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",0
"US National","1 wk ahead","Point","percent",NA,NA,2.6
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",1e-04
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",3e-04
"US National","1 wk ahead","Bin","percent","1.6","1.7",2e-04
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0329
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0323
"US National","1 wk ahead","Bin","percent","1.9","2",0.0543
"US National","1 wk ahead","Bin","percent","2","2.1",0.0052
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0377
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0117
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0648
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0966
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.1072
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0789
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0912
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0218
"US National","1 wk ahead","Bin","percent","2.9","3",0.073
"US National","1 wk ahead","Bin","percent","3","3.1",0.0313
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0359
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0379
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0024
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0038
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0325
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.013
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0074
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0154
"US National","1 wk ahead","Bin","percent","3.9","4",0.0308
"US National","1 wk ahead","Bin","percent","4","4.1",0.0264
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.0305
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.0239
"US National","1 wk ahead","Bin","percent","4.3","4.4",1e-04
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",5e-04
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
"US National","1 wk ahead","Bin","percent","11","11.1",0
"US National","1 wk ahead","Bin","percent","11.1","11.2",0
"US National","1 wk ahead","Bin","percent","11.2","11.3",0
