Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,,,50.0
US National,Season onset,Bin,week,40,41,1.472225003091673e-05
US National,Season onset,Bin,week,41,42,1.472225003091673e-05
US National,Season onset,Bin,week,42,43,1.472225003091673e-05
US National,Season onset,Bin,week,43,44,1.472225003091673e-05
US National,Season onset,Bin,week,44,45,1.472225003091673e-05
US National,Season onset,Bin,week,45,46,1.472225003091673e-05
US National,Season onset,Bin,week,46,47,0.000200222601692992
US National,Season onset,Bin,week,47,48,0.00020050761836343768
US National,Season onset,Bin,week,48,49,0.0015421485289795664
US National,Season onset,Bin,week,49,50,0.1566097927198497
US National,Season onset,Bin,week,50,51,0.6790020941540545
US National,Season onset,Bin,week,51,52,0.1566097927198497
US National,Season onset,Bin,week,52,53,0.0015421485289795324
US National,Season onset,Bin,week,1,2,0.0002005076183634295
US National,Season onset,Bin,week,2,3,0.00020022260169304436
US National,Season onset,Bin,week,3,4,0.00020022260042046756
US National,Season onset,Bin,week,4,5,0.00020022260042046756
US National,Season onset,Bin,week,5,6,0.00020022260042046756
US National,Season onset,Bin,week,6,7,0.00020022260042046756
US National,Season onset,Bin,week,7,8,0.00020022260042046756
US National,Season onset,Bin,week,8,9,0.00020022260042046756
US National,Season onset,Bin,week,9,10,0.00020022260042046756
US National,Season onset,Bin,week,10,11,0.00020022260042046756
US National,Season onset,Bin,week,11,12,0.00020022260042046756
US National,Season onset,Bin,week,12,13,0.00020022260042046756
US National,Season onset,Bin,week,13,14,0.00020022260042046756
US National,Season onset,Bin,week,14,15,0.00020022260042046756
US National,Season onset,Bin,week,15,16,0.00020022260042046756
US National,Season onset,Bin,week,16,17,0.00020022260042046756
US National,Season onset,Bin,week,17,18,0.00020022260042046756
US National,Season onset,Bin,week,18,19,0.00020022260042046756
US National,Season onset,Bin,week,19,20,0.00020022260042046756
US National,Season onset,Bin,week,20,21,0.00020022260042046756
US National,Season onset,Bin,week,none,none,0.00020022260042046756
US National,Season peak week,Point,week,,,6.0
US National,Season peak week,Bin,week,40,41,1.5195028186777285e-05
US National,Season peak week,Bin,week,41,42,1.5195028186777285e-05
US National,Season peak week,Bin,week,42,43,1.5195028186777285e-05
US National,Season peak week,Bin,week,43,44,1.5195028186777285e-05
