Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.012443205261302387
US National,Season onset,Bin,week,41,42,0.014571400587231463
US National,Season onset,Bin,week,42,43,0.01709720141427897
US National,Season onset,Bin,week,43,44,0.0207459632847859
US National,Season onset,Bin,week,44,45,0.026340836226099566
US National,Season onset,Bin,week,45,46,0.0344987552737171
US National,Season onset,Bin,week,46,47,0.04512288360584017
US National,Season onset,Bin,week,47,48,0.05718186301850801
US National,Season onset,Bin,week,48,49,0.06861524855800841
US National,Season onset,Bin,week,49,50,0.076781552674169265
US National,Season onset,Bin,week,50,51,0.07962921849253948
US National,Season onset,Bin,week,51,52,0.07660996952277395
US National,Season onset,Bin,week,52,53,0.06899620228536509
US National,Season onset,Bin,week,1,2,0.05926318920457376
US National,Season onset,Bin,week,2,3,0.04978265274185922
US National,Season onset,Bin,week,3,4,0.041871993284091746
US National,Season onset,Bin,week,4,5,0.03561237247862447
US National,Season onset,Bin,week,5,6,0.030285536253407155
US National,Season onset,Bin,week,6,7,0.025204238650474414
US National,Season onset,Bin,week,7,8,0.020196609272899454
US National,Season onset,Bin,week,8,9,0.015525362534344892
US National,Season onset,Bin,week,9,10,0.011603982528703358
US National,Season onset,Bin,week,10,11,0.008705748337405547
US National,Season onset,Bin,week,11,12,0.006823210632825353
US National,Season onset,Bin,week,12,13,0.005741261136710804
US National,Season onset,Bin,week,13,14,0.005182030450682992
US National,Season onset,Bin,week,14,15,0.004901067746824808
US National,Season onset,Bin,week,15,16,0.004721164820515769
US National,Season onset,Bin,week,16,17,0.0045281089109319855
US National,Season onset,Bin,week,17,18,0.004251708789348977
US National,Season onset,Bin,week,18,19,0.003853583066575585
US National,Season onset,Bin,week,19,20,0.003328038704710142
US National,Season onset,Bin,week,20,21,0.0027082984542041192
US National,Season onset,Bin,week,none,none,0.05727554179566563
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,0.007879046196762515
US National,Season peak week,Bin,week,41,42,0.009140207332011962
US National,Season peak week,Bin,week,42,43,0.010298940589001108
US National,Season peak week,Bin,week,43,44,0.011454883555688444
US National,Season peak week,Bin,week,44,45,0.012808094469592997
US National,Season peak week,Bin,week,45,46,0.014621059298011923
US National,Season peak week,Bin,week,46,47,0.01714510549995525
US National,Season peak week,Bin,week,47,48,0.02051803841182144
US National,Season peak week,Bin,week,48,49,0.024724080655129002
US National,Season peak week,Bin,week,49,50,0.029570688495977344
US National,Season peak week,Bin,week,50,51,0.034745708197161294
US National,Season peak week,Bin,week,51,52,0.03992533504235047
US National,Season peak week,Bin,week,52,53,0.04483201058064907
US National,Season peak week,Bin,week,1,2,0.04933340878892719
US National,Season peak week,Bin,week,2,3,0.053375051346080483
US National,Season peak week,Bin,week,3,4,0.056890647233407234
US National,Season peak week,Bin,week,4,5,0.059709815667882825
US National,Season peak week,Bin,week,5,6,0.061513648812697
US National,Season peak week,Bin,week,6,7,0.06190653440359136
US National,Season peak week,Bin,week,7,8,0.06055191448754141
US National,Season peak week,Bin,week,8,9,0.057308009541288014
US National,Season peak week,Bin,week,9,10,0.05231609127738425
US National,Season peak week,Bin,week,10,11,0.045988959487315746
US National,Season peak week,Bin,week,11,12,0.038954777181413054
US National,Season peak week,Bin,week,12,13,0.03184740106745448
US National,Season peak week,Bin,week,13,14,0.025218465795925266
US National,Season peak week,Bin,week,14,15,0.019442742169177213
US National,Season peak week,Bin,week,15,16,0.014690213256230796
US National,Season peak week,Bin,week,16,17,0.010976515296234942
US National,Season peak week,Bin,week,17,18,0.008175593672740303
US National,Season peak week,Bin,week,18,19,0.006106864773625069
US National,Season peak week,Bin,week,19,20,0.004584029590794211
US National,Season peak week,Bin,week,20,21,0.0034461178261763624
US National,Season peak percentage,Point,percent,NA,NA,5.05
US National,Season peak percentage,Bin,percent,0,0.1,0.0010557210459770227
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0011719374122685917
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0013052579302856664
US National,Season peak percentage,Bin,percent,0.3,0.4,0.001445455348257301
US National,Season peak percentage,Bin,percent,0.4,0.5,0.001606337700945983
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0017744926886572939
US National,Season peak percentage,Bin,percent,0.6,0.7,0.001967714356515351
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0021681603653757623
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0023984226087616065
US National,Season peak percentage,Bin,percent,0.9,1,0.0026350512591022984
US National,Season peak percentage,Bin,percent,1,1.1,0.0029061061978938674
US National,Season peak percentage,Bin,percent,1.1,1.2,0.0031821445452882274
US National,Season peak percentage,Bin,percent,1.2,1.3,0.003497666225843929
US National,Season peak percentage,Bin,percent,1.3,1.4,0.0038153603078238067
US National,Season peak percentage,Bin,percent,1.4,1.5,0.004177054515434623
