"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,47
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",1
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",0
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,52
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0.0143591733773164
"US National","Season peak week","Bin","week","52","53",0.790239642961094
"US National","Season peak week","Bin","week","1","2",0.0775201319491608
"US National","Season peak week","Bin","week","2","3",0.0192102454642476
"US National","Season peak week","Bin","week","3","4",0.0383234694867566
"US National","Season peak week","Bin","week","4","5",0.0375472979528476
"US National","Season peak week","Bin","week","5","6",0.0134859804016688
"US National","Season peak week","Bin","week","6","7",0.00485107208693122
"US National","Season peak week","Bin","week","7","8",0.00194042883477249
"US National","Season peak week","Bin","week","8","9",0.00126127874260212
"US National","Season peak week","Bin","week","9","10",9.70214417386242e-05
"US National","Season peak week","Bin","week","10","11",0.00067915009217037
"US National","Season peak week","Bin","week","11","12",0.000194042883477248
"US National","Season peak week","Bin","week","12","13",9.70214417386242e-05
"US National","Season peak week","Bin","week","13","14",0.000194042883477248
"US National","Season peak week","Bin","week","14","15",0
"US National","Season peak week","Bin","week","15","16",0
"US National","Season peak week","Bin","week","16","17",0
"US National","Season peak week","Bin","week","17","18",0
"US National","Season peak week","Bin","week","18","19",0
"US National","Season peak week","Bin","week","19","20",0
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,7.8
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
"US National","Season peak percentage","Bin","percent","0.8","0.9",0
"US National","Season peak percentage","Bin","percent","0.9","1",0
"US National","Season peak percentage","Bin","percent","1","1.1",0
"US National","Season peak percentage","Bin","percent","1.1","1.2",0
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0
"US National","Season peak percentage","Bin","percent","4.4","4.5",0
"US National","Season peak percentage","Bin","percent","4.5","4.6",0
"US National","Season peak percentage","Bin","percent","4.6","4.7",0
"US National","Season peak percentage","Bin","percent","4.7","4.8",0
"US National","Season peak percentage","Bin","percent","4.8","4.9",0
"US National","Season peak percentage","Bin","percent","4.9","5",0
"US National","Season peak percentage","Bin","percent","5","5.1",0
"US National","Season peak percentage","Bin","percent","5.1","5.2",0
"US National","Season peak percentage","Bin","percent","5.2","5.3",0
"US National","Season peak percentage","Bin","percent","5.3","5.4",0
"US National","Season peak percentage","Bin","percent","5.4","5.5",0
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0148
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0045
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0069
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0065
"US National","Season peak percentage","Bin","percent","5.9","6",0.01
"US National","Season peak percentage","Bin","percent","6","6.1",0.0108
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0114
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0167
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0173
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0184
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0206
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0211
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0229
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0251
"US National","Season peak percentage","Bin","percent","6.9","7",0.025
"US National","Season peak percentage","Bin","percent","7","7.1",0.0267
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0287
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.031
"US National","Season peak percentage","Bin","percent","7.3","7.4",0.0341
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0303
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0343
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0345
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0303
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0328
"US National","Season peak percentage","Bin","percent","7.9","8",0.0343
"US National","Season peak percentage","Bin","percent","8","8.1",0.0325
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0303
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0276
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.03
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.027
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0253
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.0244
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0226
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0191
"US National","Season peak percentage","Bin","percent","8.9","9",0.0195
"US National","Season peak percentage","Bin","percent","9","9.1",0.0187
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0167
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0147
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.0142
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.013
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.0118
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.0119
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0119
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.0082
"US National","Season peak percentage","Bin","percent","9.9","10",0.0074
"US National","Season peak percentage","Bin","percent","10","10.1",0.0065
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0058
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0069
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0046
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0049
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.0032
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0041
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0039
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.0027
"US National","Season peak percentage","Bin","percent","10.9","11",0.0024
"US National","Season peak percentage","Bin","percent","11","11.1",0.0026
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0011
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.0014
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.0018
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.0016
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.001
"US National","Season peak percentage","Bin","percent","11.6","11.7",8e-04
"US National","Season peak percentage","Bin","percent","11.7","11.8",7e-04
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.0011
"US National","Season peak percentage","Bin","percent","11.9","12",5e-04
"US National","Season peak percentage","Bin","percent","12","12.1",0.001
"US National","Season peak percentage","Bin","percent","12.1","12.2",7e-04
"US National","Season peak percentage","Bin","percent","12.2","12.3",2e-04
"US National","Season peak percentage","Bin","percent","12.3","12.4",7e-04
"US National","Season peak percentage","Bin","percent","12.4","12.5",4e-04
"US National","Season peak percentage","Bin","percent","12.5","12.6",4e-04
"US National","Season peak percentage","Bin","percent","12.6","12.7",6e-04
"US National","Season peak percentage","Bin","percent","12.7","12.8",3e-04
"US National","Season peak percentage","Bin","percent","12.8","12.9",3e-04
"US National","Season peak percentage","Bin","percent","12.9","13",1e-04
"US National","Season peak percentage","Bin","percent","13","100",0.0019
"US National","1 wk ahead","Point","percent",NA,NA,7.7
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",0
"US National","1 wk ahead","Bin","percent","1.7","1.8",0
"US National","1 wk ahead","Bin","percent","1.8","1.9",0
"US National","1 wk ahead","Bin","percent","1.9","2",0
"US National","1 wk ahead","Bin","percent","2","2.1",0
"US National","1 wk ahead","Bin","percent","2.1","2.2",0
"US National","1 wk ahead","Bin","percent","2.2","2.3",0
"US National","1 wk ahead","Bin","percent","2.3","2.4",0
"US National","1 wk ahead","Bin","percent","2.4","2.5",0
"US National","1 wk ahead","Bin","percent","2.5","2.6",0
"US National","1 wk ahead","Bin","percent","2.6","2.7",0
"US National","1 wk ahead","Bin","percent","2.7","2.8",0
"US National","1 wk ahead","Bin","percent","2.8","2.9",0
"US National","1 wk ahead","Bin","percent","2.9","3",0
"US National","1 wk ahead","Bin","percent","3","3.1",0
"US National","1 wk ahead","Bin","percent","3.1","3.2",0
"US National","1 wk ahead","Bin","percent","3.2","3.3",0
"US National","1 wk ahead","Bin","percent","3.3","3.4",0
"US National","1 wk ahead","Bin","percent","3.4","3.5",0
"US National","1 wk ahead","Bin","percent","3.5","3.6",0
"US National","1 wk ahead","Bin","percent","3.6","3.7",0
"US National","1 wk ahead","Bin","percent","3.7","3.8",0
"US National","1 wk ahead","Bin","percent","3.8","3.9",0
"US National","1 wk ahead","Bin","percent","3.9","4",0
"US National","1 wk ahead","Bin","percent","4","4.1",0
"US National","1 wk ahead","Bin","percent","4.1","4.2",0
"US National","1 wk ahead","Bin","percent","4.2","4.3",0
"US National","1 wk ahead","Bin","percent","4.3","4.4",0
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",5e-04
"US National","1 wk ahead","Bin","percent","4.7","4.8",3e-04
"US National","1 wk ahead","Bin","percent","4.8","4.9",2e-04
"US National","1 wk ahead","Bin","percent","4.9","5",8e-04
"US National","1 wk ahead","Bin","percent","5","5.1",0.0011
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.0018
"US National","1 wk ahead","Bin","percent","5.2","5.3",0.0023
"US National","1 wk ahead","Bin","percent","5.3","5.4",0.0038
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.004
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0047
"US National","1 wk ahead","Bin","percent","5.6","5.7",0.006
"US National","1 wk ahead","Bin","percent","5.7","5.8",0.0083
"US National","1 wk ahead","Bin","percent","5.8","5.9",0.0073
"US National","1 wk ahead","Bin","percent","5.9","6",0.0124
"US National","1 wk ahead","Bin","percent","6","6.1",0.0121
"US National","1 wk ahead","Bin","percent","6.1","6.2",0.0127
"US National","1 wk ahead","Bin","percent","6.2","6.3",0.0176
"US National","1 wk ahead","Bin","percent","6.3","6.4",0.0192
"US National","1 wk ahead","Bin","percent","6.4","6.5",0.02
"US National","1 wk ahead","Bin","percent","6.5","6.6",0.0238
"US National","1 wk ahead","Bin","percent","6.6","6.7",0.0231
"US National","1 wk ahead","Bin","percent","6.7","6.8",0.0255
"US National","1 wk ahead","Bin","percent","6.8","6.9",0.028
"US National","1 wk ahead","Bin","percent","6.9","7",0.0269
"US National","1 wk ahead","Bin","percent","7","7.1",0.0295
"US National","1 wk ahead","Bin","percent","7.1","7.2",0.0301
"US National","1 wk ahead","Bin","percent","7.2","7.3",0.0329
"US National","1 wk ahead","Bin","percent","7.3","7.4",0.0362
"US National","1 wk ahead","Bin","percent","7.4","7.5",0.034
"US National","1 wk ahead","Bin","percent","7.5","7.6",0.037
"US National","1 wk ahead","Bin","percent","7.6","7.7",0.034
"US National","1 wk ahead","Bin","percent","7.7","7.8",0.0316
"US National","1 wk ahead","Bin","percent","7.8","7.9",0.0348
"US National","1 wk ahead","Bin","percent","7.9","8",0.0334
"US National","1 wk ahead","Bin","percent","8","8.1",0.03
"US National","1 wk ahead","Bin","percent","8.1","8.2",0.0308
"US National","1 wk ahead","Bin","percent","8.2","8.3",0.0275
"US National","1 wk ahead","Bin","percent","8.3","8.4",0.0286
"US National","1 wk ahead","Bin","percent","8.4","8.5",0.0259
"US National","1 wk ahead","Bin","percent","8.5","8.6",0.0244
"US National","1 wk ahead","Bin","percent","8.6","8.7",0.024
"US National","1 wk ahead","Bin","percent","8.7","8.8",0.022
"US National","1 wk ahead","Bin","percent","8.8","8.9",0.0169
"US National","1 wk ahead","Bin","percent","8.9","9",0.0177
"US National","1 wk ahead","Bin","percent","9","9.1",0.0166
"US National","1 wk ahead","Bin","percent","9.1","9.2",0.0157
"US National","1 wk ahead","Bin","percent","9.2","9.3",0.014
"US National","1 wk ahead","Bin","percent","9.3","9.4",0.0117
"US National","1 wk ahead","Bin","percent","9.4","9.5",0.012
"US National","1 wk ahead","Bin","percent","9.5","9.6",0.0107
"US National","1 wk ahead","Bin","percent","9.6","9.7",0.0108
"US National","1 wk ahead","Bin","percent","9.7","9.8",0.0105
"US National","1 wk ahead","Bin","percent","9.8","9.9",0.0066
"US National","1 wk ahead","Bin","percent","9.9","10",0.0057
"US National","1 wk ahead","Bin","percent","10","10.1",0.0055
"US National","1 wk ahead","Bin","percent","10.1","10.2",0.0043
"US National","1 wk ahead","Bin","percent","10.2","10.3",0.0045
"US National","1 wk ahead","Bin","percent","10.3","10.4",0.0028
"US National","1 wk ahead","Bin","percent","10.4","10.5",0.004
"US National","1 wk ahead","Bin","percent","10.5","10.6",0.0031
"US National","1 wk ahead","Bin","percent","10.6","10.7",0.0027
"US National","1 wk ahead","Bin","percent","10.7","10.8",0.0028
"US National","1 wk ahead","Bin","percent","10.8","10.9",0.002
"US National","1 wk ahead","Bin","percent","10.9","11",0.0018
