"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,3.6
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00042
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.00176
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.00102
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.00024
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00108
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.00434
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.02068
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.03936
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.03656
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.02938
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.03704
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.04426
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.03656
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.02524
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.02028
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.02362
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.03384
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.03922
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.03446
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.03516
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.0395
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.04774
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.04546
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.0336
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.021
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.01324
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.0088
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00726
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.00498
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.006
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.0091
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.01428
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.02016
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.02956
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.03656
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.04452
