"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"50"
"US National","Season onset","Bin","week","40","41","4.42347371930663e-05"
"US National","Season onset","Bin","week","41","42","4.44922100923091e-05"
"US National","Season onset","Bin","week","42","43","4.47715640094461e-05"
"US National","Season onset","Bin","week","43","44","4.50727989443795e-05"
"US National","Season onset","Bin","week","44","45","4.53959148970814e-05"
"US National","Season onset","Bin","week","45","46","4.55005524292869e-05"
"US National","Season onset","Bin","week","46","47","4.48001797080155e-05"
"US National","Season onset","Bin","week","47","48","4.46811278258303e-05"
"US National","Season onset","Bin","week","48","49","4.45183139080358e-05"
"US National","Season onset","Bin","week","49","50","0.832999167726574"
"US National","Season onset","Bin","week","50","51","0.165625298052831"
"US National","Season onset","Bin","week","51","52","4.30251631353307e-05"
"US National","Season onset","Bin","week","52","1","4.32726451743442e-05"
"US National","Season onset","Bin","week","1","2","4.35420082314493e-05"
"US National","Season onset","Bin","week","2","3","4.38332523058084e-05"
"US National","Season onset","Bin","week","3","4","4.41383072325042e-05"
"US National","Season onset","Bin","week","4","5","4.42040517777072e-05"
"US National","Season onset","Bin","week","5","6","4.44704287253428e-05"
"US National","Season onset","Bin","week","6","7","4.46930436367955e-05"
"US National","Season onset","Bin","week","7","8","4.4871896513112e-05"
"US National","Season onset","Bin","week","8","9","4.50069873536643e-05"
"US National","Season onset","Bin","week","9","10","4.50983161586617e-05"
"US National","Season onset","Bin","week","10","11","4.49935716050705e-05"
"US National","Season onset","Bin","week","11","12","4.3319679102385e-05"
"US National","Season onset","Bin","week","12","13","4.3418208762292e-05"
"US National","Season onset","Bin","week","13","14","4.35386194398719e-05"
"US National","Season onset","Bin","week","14","15","4.2995412430528e-05"
"US National","Season onset","Bin","week","15","16","4.30913566333974e-05"
"US National","Season onset","Bin","week","16","17","4.33777153009798e-05"
"US National","Season onset","Bin","week","17","18","4.36203119334261e-05"
"US National","Season onset","Bin","week","18","19","4.38191465301082e-05"
"US National","Season onset","Bin","week","19","20","4.39742190910261e-05"
"US National","Season onset","Bin","week","20","21","5.71091080997473e-06"
"US National","Season onset","Bin","week","none","none","4.40515697042671e-05"
"US National","Season peak week","Point","week",NA,NA,"5"
"US National","Season peak week","Bin","week","40","41","4.5457642269574e-05"
"US National","Season peak week","Bin","week","41","42","4.53746075707815e-05"
"US National","Season peak week","Bin","week","42","43","4.54900239399526e-05"
"US National","Season peak week","Bin","week","43","44","4.52516181574117e-05"
"US National","Season peak week","Bin","week","44","45","4.55278585550847e-05"
"US National","Season peak week","Bin","week","45","46","4.52046753625004e-05"
"US National","Season peak week","Bin","week","46","47","4.55912107848083e-05"
"US National","Season peak week","Bin","week","47","48","4.53319032207168e-05"
"US National","Season peak week","Bin","week","48","49","4.55659588091972e-05"
"US National","Season peak week","Bin","week","49","50","4.53661855365626e-05"
"US National","Season peak week","Bin","week","50","51","4.53870273128953e-05"
"US National","Season peak week","Bin","week","51","52","4.5395834792299e-05"
"US National","Season peak week","Bin","week","52","1","4.53412291873628e-05"
"US National","Season peak week","Bin","week","1","2","4.54459192637502e-05"
"US National","Season peak week","Bin","week","2","3","4.53959477112547e-05"
"US National","Season peak week","Bin","week","3","4","4.55053920811035e-05"
"US National","Season peak week","Bin","week","4","5","0.353121115657499"
"US National","Season peak week","Bin","week","5","6","0.41441913909391"
"US National","Season peak week","Bin","week","6","7","0.170496531211427"
"US National","Season peak week","Bin","week","7","8","0.0518627187960937"
"US National","Season peak week","Bin","week","8","9","0.00885512341568348"
"US National","Season peak week","Bin","week","9","10","4.52597905897092e-05"
"US National","Season peak week","Bin","week","10","11","4.55651244284961e-05"
"US National","Season peak week","Bin","week","11","12","4.5394934097958e-05"
"US National","Season peak week","Bin","week","12","13","4.55319215678706e-05"
"US National","Season peak week","Bin","week","13","14","4.54496100996735e-05"
"US National","Season peak week","Bin","week","14","15","4.53181939944786e-05"
"US National","Season peak week","Bin","week","15","16","4.54807133979198e-05"
"US National","Season peak week","Bin","week","16","17","4.52220166124863e-05"
"US National","Season peak week","Bin","week","17","18","4.55333017533257e-05"
"US National","Season peak week","Bin","week","18","19","4.52566889426321e-05"
"US National","Season peak week","Bin","week","19","20","4.56161690362628e-05"
