"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"50"
"US National","Season onset","Bin","week","40","41","4.42347371930663e-05"
"US National","Season onset","Bin","week","41","42","4.44922100923091e-05"
"US National","Season onset","Bin","week","42","43","4.47715640094461e-05"
"US National","Season onset","Bin","week","43","44","4.50727989443795e-05"
"US National","Season onset","Bin","week","44","45","4.53959148970814e-05"
"US National","Season onset","Bin","week","45","46","4.55005524292869e-05"
"US National","Season onset","Bin","week","46","47","4.48001797080155e-05"
"US National","Season onset","Bin","week","47","48","4.46811278258303e-05"
"US National","Season onset","Bin","week","48","49","4.45183139080358e-05"
"US National","Season onset","Bin","week","49","50","0.832999167726574"
"US National","Season onset","Bin","week","50","51","0.165625298052831"
"US National","Season onset","Bin","week","51","52","4.30251631353307e-05"
"US National","Season onset","Bin","week","52","1","4.32726451743442e-05"
"US National","Season onset","Bin","week","1","2","4.35420082314493e-05"
"US National","Season onset","Bin","week","2","3","4.38332523058084e-05"
"US National","Season onset","Bin","week","3","4","4.41383072325042e-05"
"US National","Season onset","Bin","week","4","5","4.42040517777072e-05"
"US National","Season onset","Bin","week","5","6","4.44704287253428e-05"
"US National","Season onset","Bin","week","6","7","4.46930436367955e-05"
"US National","Season onset","Bin","week","7","8","4.4871896513112e-05"
"US National","Season onset","Bin","week","8","9","4.50069873536643e-05"
"US National","Season onset","Bin","week","9","10","4.50983161586617e-05"
"US National","Season onset","Bin","week","10","11","4.49935716050705e-05"
"US National","Season onset","Bin","week","11","12","4.3319679102385e-05"
"US National","Season onset","Bin","week","12","13","4.3418208762292e-05"
"US National","Season onset","Bin","week","13","14","4.35386194398719e-05"
"US National","Season onset","Bin","week","14","15","4.2995412430528e-05"
"US National","Season onset","Bin","week","15","16","4.30913566333974e-05"
"US National","Season onset","Bin","week","16","17","4.33777153009798e-05"
"US National","Season onset","Bin","week","17","18","4.36203119334261e-05"
"US National","Season onset","Bin","week","18","19","4.38191465301082e-05"
"US National","Season onset","Bin","week","19","20","4.39742190910261e-05"
"US National","Season onset","Bin","week","20","21","5.71091080997473e-06"
"US National","Season onset","Bin","week","none","none","4.40515697042671e-05"
"US National","Season peak week","Point","week",NA,NA,"4"
"US National","Season peak week","Bin","week","40","41","4.49091453133198e-05"
"US National","Season peak week","Bin","week","41","42","4.5369364333475e-05"
"US National","Season peak week","Bin","week","42","43","4.53971996764721e-05"
"US National","Season peak week","Bin","week","43","44","4.53953873209977e-05"
"US National","Season peak week","Bin","week","44","45","4.53664091610495e-05"
"US National","Season peak week","Bin","week","45","46","4.54052615467321e-05"
"US National","Season peak week","Bin","week","46","47","4.53900525344412e-05"
"US National","Season peak week","Bin","week","47","48","4.53684441014986e-05"
"US National","Season peak week","Bin","week","48","49","4.54066183084242e-05"
"US National","Season peak week","Bin","week","49","50","4.62787915714449e-05"
"US National","Season peak week","Bin","week","50","51","0.00233597148409956"
"US National","Season peak week","Bin","week","51","52","0.0749050807018964"
"US National","Season peak week","Bin","week","52","1","0.068942712708062"
"US National","Season peak week","Bin","week","1","2","0.0703175770575681"
"US National","Season peak week","Bin","week","2","3","0.150292696244336"
"US National","Season peak week","Bin","week","3","4","0.195003307293589"
"US National","Season peak week","Bin","week","4","5","0.155384348571998"
"US National","Season peak week","Bin","week","5","6","0.0889451903224937"
"US National","Season peak week","Bin","week","6","7","0.0694932485063843"
"US National","Season peak week","Bin","week","7","8","0.0552953142063511"
"US National","Season peak week","Bin","week","8","9","0.0349525281056685"
"US National","Season peak week","Bin","week","9","10","0.0218802273307522"
"US National","Season peak week","Bin","week","10","11","0.0106231498261367"
"US National","Season peak week","Bin","week","11","12","0.000291315103422818"
"US National","Season peak week","Bin","week","12","13","4.54439613182079e-05"
"US National","Season peak week","Bin","week","13","14","5.34060371250611e-05"
"US National","Season peak week","Bin","week","14","15","0.000302086115307895"
"US National","Season peak week","Bin","week","15","16","0.000274486636739801"
"US National","Season peak week","Bin","week","16","17","5.08532093010095e-05"
"US National","Season peak week","Bin","week","17","18","4.53879474094078e-05"
"US National","Season peak week","Bin","week","18","19","4.5374107604164e-05"
"US National","Season peak week","Bin","week","19","20","4.46795230847458e-05"
