Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47
US National,Season onset,Bin,week,40,41,4.274685929968218e-5
US National,Season onset,Bin,week,41,42,8.797534781595678e-5
US National,Season onset,Bin,week,42,43,8.797534781597277e-5
US National,Season onset,Bin,week,43,44,8.797534781580518e-5
US National,Season onset,Bin,week,44,45,8.797534781599496e-5
US National,Season onset,Bin,week,45,46,8.797534781600023e-5
US National,Season onset,Bin,week,46,47,8.797534781595259e-5
US National,Season onset,Bin,week,47,48,0.9971419172620182
US National,Season onset,Bin,week,48,49,8.797534781596313e-5
US National,Season onset,Bin,week,49,50,8.797534781596313e-5
US National,Season onset,Bin,week,50,51,8.797534781596313e-5
US National,Season onset,Bin,week,51,52,8.797534781596313e-5
US National,Season onset,Bin,week,52,53,8.797534781596313e-5
US National,Season onset,Bin,week,1,2,8.797534781596313e-5
US National,Season onset,Bin,week,2,3,8.797534781596313e-5
US National,Season onset,Bin,week,3,4,8.797534781596313e-5
US National,Season onset,Bin,week,4,5,8.810409533201307e-5
US National,Season onset,Bin,week,5,6,8.797534781596313e-5
US National,Season onset,Bin,week,6,7,8.797534781596313e-5
US National,Season onset,Bin,week,7,8,8.797534781596313e-5
US National,Season onset,Bin,week,8,9,8.797534781596313e-5
US National,Season onset,Bin,week,9,10,8.797534781596313e-5
US National,Season onset,Bin,week,10,11,8.797534781596313e-5
US National,Season onset,Bin,week,11,12,8.797534781596313e-5
US National,Season onset,Bin,week,12,13,8.797534781596313e-5
US National,Season onset,Bin,week,13,14,8.797534781596313e-5
US National,Season onset,Bin,week,14,15,8.797534781596313e-5
US National,Season onset,Bin,week,15,16,8.797534781596313e-5
US National,Season onset,Bin,week,16,17,8.797534781596313e-5
US National,Season onset,Bin,week,17,18,8.797534781596313e-5
US National,Season onset,Bin,week,18,19,8.797534781596313e-5
US National,Season onset,Bin,week,19,20,8.797534781596313e-5
US National,Season onset,Bin,week,20,21,8.797531670958161e-5
US National,Season onset,Bin,week,none,none,8.797137997771393e-5
US National,Season peak week,Point,week,NA,NA,7
US National,Season peak week,Bin,week,40,41,8.053680623804505e-5
US National,Season peak week,Bin,week,41,42,9.051370299180945e-5
US National,Season peak week,Bin,week,42,43,9.072347939094166e-5
US National,Season peak week,Bin,week,43,44,9.059990490071885e-5
US National,Season peak week,Bin,week,44,45,9.059019700911757e-5
US National,Season peak week,Bin,week,45,46,9.075287756461085e-5
US National,Season peak week,Bin,week,46,47,9.052213743153585e-5
US National,Season peak week,Bin,week,47,48,9.071983010884933e-5
US National,Season peak week,Bin,week,48,49,9.061990405804673e-5
US National,Season peak week,Bin,week,49,50,9.057732930480147e-5
US National,Season peak week,Bin,week,50,51,9.074509138941866e-5
US National,Season peak week,Bin,week,51,52,9.054099613167523e-5
US National,Season peak week,Bin,week,52,53,1.1315564175485424e-4
US National,Season peak week,Bin,week,1,2,0.007613388414714127
US National,Season peak week,Bin,week,2,3,0.0667900720326906
US National,Season peak week,Bin,week,3,4,0.15399491987988076
US National,Season peak week,Bin,week,4,5,0.02663934993397875
