"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,"47"
"US National","Season onset","Bin","week","40","41","4.61325604968431e-05"
"US National","Season onset","Bin","week","41","42","4.0273784532301e-05"
"US National","Season onset","Bin","week","42","43","4.40757447545818e-05"
"US National","Season onset","Bin","week","43","44","4.28509591603097e-05"
"US National","Season onset","Bin","week","44","45","4.1797963393706e-05"
"US National","Season onset","Bin","week","45","46","4.57030734305618e-05"
"US National","Season onset","Bin","week","46","47","0.725144144142186"
"US National","Season onset","Bin","week","47","48","0.273482731164121"
"US National","Season onset","Bin","week","48","49","3.66192765557269e-05"
"US National","Season onset","Bin","week","49","50","5.02384044071684e-05"
"US National","Season onset","Bin","week","50","51","3.56325420903352e-05"
"US National","Season onset","Bin","week","51","52","4.99315802784519e-05"
"US National","Season onset","Bin","week","52","53","3.6454655581132e-05"
"US National","Season onset","Bin","week","53","1","4.73415932323104e-05"
"US National","Season onset","Bin","week","1","2","3.96139060124977e-05"
"US National","Season onset","Bin","week","2","3","4.45306405677111e-05"
"US National","Season onset","Bin","week","3","4","4.28287002501844e-05"
"US National","Season onset","Bin","week","4","5","4.12279907062338e-05"
"US National","Season onset","Bin","week","5","6","4.59488839827622e-05"
"US National","Season onset","Bin","week","6","7","3.86139960357925e-05"
"US National","Season onset","Bin","week","7","8","4.8658764341864e-05"
"US National","Season onset","Bin","week","8","9","3.64419326026228e-05"
"US National","Season onset","Bin","week","9","10","4.89251313487818e-05"
"US National","Season onset","Bin","week","10","11","3.66054344746372e-05"
"US National","Season onset","Bin","week","11","12","4.78493343676937e-05"
"US National","Season onset","Bin","week","12","13","3.80031522874796e-05"
"US National","Season onset","Bin","week","13","14","4.54574351919697e-05"
"US National","Season onset","Bin","week","14","15","4.06090242468897e-05"
"US National","Season onset","Bin","week","15","16","4.34678518919687e-05"
"US National","Season onset","Bin","week","16","17","4.2704632283577e-05"
"US National","Season onset","Bin","week","17","18","4.19201998294174e-05"
"US National","Season onset","Bin","week","18","19","4.42503610356367e-05"
"US National","Season onset","Bin","week","19","20","4.08144790037815e-05"
"US National","Season onset","Bin","week","20","21","4.80775189100638e-06"
"US National","Season onset","Bin","week","none","none","4.27929534270024e-05"
